"","lastname","firstname","Photo","Party","Votes","constituency","candidate","votes","pct_votes","rank","won","margin_victory","pct_margin","province","district"
"163","LUBINDA","Given",NA,"PF","31,310","Kabwata","Given Lubinda",31310,0.56775527227229,1,1,14454,0.262099479572778,"Lusaka","Lusaka"
"164","SATA","Mulenga JC",NA,"UPND","16,856","Kabwata","Mulenga Jc Sata",16856,0.305655792699512,2,0,NA,NA,"Lusaka","Lusaka"
"165","TEMBO","Clement",NA,"IND","5,899","Kabwata","Clement Tembo",5899,0.106968647433224,3,0,NA,NA,"Lusaka","Lusaka"
"166","ZULU","Michael S",NA,"IND","673","Kabwata","Michael S Zulu",673,0.0122037463506628,4,0,NA,NA,"Lusaka","Lusaka"
"167","MULILO","Simon",NA,"RAINBOW","211","Kabwata","Simon Mulilo",211,0.00382613741454658,5,0,NA,NA,"Lusaka","Lusaka"
"168","NJOVU","Joseph C",NA,"FDD","198","Kabwata","Joseph C Njovu",198,0.00359040382976408,6,0,NA,NA,"Lusaka","Lusaka"
"169","NGULUBE","Tutwa S",NA,"PF","22,386","Kabwe Central","Tutwa S Ngulube",22386,0.646340407102642,1,1,10137,0.292680814205284,"Central","Kabwe"
"170","MWAMBA","Macdonald",NA,"UPND","12,249","Kabwe Central","Macdonald Mwamba",12249,0.353659592897358,2,0,NA,NA,"Central","Kabwe"
"171","CHONYA","Mirriam B",NA,"UPND","18,542","Kafue","Mirriam B Chonya",18542,0.515170037786175,1,1,2491,0.0692098244054234,"Lusaka","Kafue"
"172","SINKALA","Gibson",NA,"PF","16,051","Kafue","Gibson Sinkala",16051,0.445960213380751,2,0,NA,NA,"Lusaka","Kafue"
"173","MUUNGA","Peter M",NA,"RAINBOW","811","Kafue","Peter M Muunga",811,0.0225327850633474,3,0,NA,NA,"Lusaka","Kafue"
"174","MUTENDA","Anastazia",NA,"UNIP","588","Kafue","Anastazia Mutenda",588,0.0163369637697266,4,0,NA,NA,"Lusaka","Kafue"
"175","KABAMBA","Joseph",NA,"PF","3,869","Kafulafuta","Joseph Kabamba",3869,0.385396951887638,1,1,603,0.0600657435999602,"Copperbelt","Masaiti"
"176","CHITAFU","Brian K",NA,"UPND","3,266","Kafulafuta","Brian K Chitafu",3266,0.325331208287678,2,0,NA,NA,"Copperbelt","Masaiti"
"177","MULEBWA","Jeffrey",NA,"IND","1,753","Kafulafuta","Jeffrey Mulebwa",1753,0.174618985954776,3,0,NA,NA,"Copperbelt","Masaiti"
"178","MATOWE","Benson",NA,"FDD","648","Kafulafuta","Benson Matowe",648,0.0645482617790617,4,0,NA,NA,"Copperbelt","Masaiti"
"179","MPOMBO","George W",NA,"IND","503","Kafulafuta","George W Mpombo",503,0.0501045920908457,5,0,NA,NA,"Copperbelt","Masaiti"
"180","MIYUTU","Chinga",NA,"UPND","11,832","Kalabo Central","Chinga Miyutu",11832,0.697970740915526,1,1,8613,0.508081642284096,"Western","Kalabo"
"181","MWAPELA","Sikwibele R",NA,"PF","3,219","Kalabo Central","Sikwibele R Mwapela",3219,0.18988909863143,2,0,NA,NA,"Western","Kalabo"
"182","KALALUKA","Mubukwanu",NA,"FDD","1,298","Kalabo Central","Mubukwanu Kalaluka",1298,0.0765691363850873,3,0,NA,NA,"Western","Kalabo"
"183","MOOTO","Kalowa",NA,"IND","603","Kalabo Central","Kalowa Mooto",603,0.0355710240679566,4,0,NA,NA,"Western","Kalabo"
"184","KAMBONI","Harry KS",NA,"UPND","21,332","Kalomo Central","Harry Ks Kamboni",21332,0.550517432707941,1,1,4931,0.127254896900565,"Southern","Kalomo"
"185","MUWELE","Smart",NA,"IND","16,401","Kalomo Central","Smart Muwele",16401,0.423262535807376,2,0,NA,NA,"Southern","Kalomo"
"186","NENGWA","Douglas H",NA,"PF","1,016","Kalomo Central","Douglas H Nengwa",1016,0.0262200314846835,3,0,NA,NA,"Southern","Kalomo"
"187","CHILUMBA","Kampamba M",NA,"PF","13,506","Kalulushi","Kampamba M Chilumba",13506,0.426972685887709,1,1,4520,0.142893272635306,"Copperbelt","Kalulushi"
"188","MWALILINO","Everisto M",NA,"UPND","8,986","Kalulushi","Everisto M Mwalilino",8986,0.284079413252403,2,0,NA,NA,"Copperbelt","Kalulushi"
"189","BESA","Benard",NA,"IND","7,660","Kalulushi","Benard Besa",7660,0.242159838138594,3,0,NA,NA,"Copperbelt","Kalulushi"
"190","KALETA","Chikabala M",NA,"IND","821","Kalulushi","Chikabala M Kaleta",821,0.0259547293879616,4,0,NA,NA,"Copperbelt","Kalulushi"
"191","SIMPEMBA","Haward",NA,"RAINBOW","416","Kalulushi","Haward Simpemba",416,0.013151239251391,5,0,NA,NA,"Copperbelt","Kalulushi"
"192","KASENGE","Wilson",NA,"UDF","243","Kalulushi","Wilson Kasenge",243,0.00768209408194234,6,0,NA,NA,"Copperbelt","Kalulushi"
"193","MUSONDA","Elalio",NA,"PF","12,882","Kamfinsa","Elalio Musonda",12882,0.579122459989211,1,1,7115,0.319861535695019,"Copperbelt","Kitwe"
"194","MULENGA","Stanley",NA,"UPND","5,767","Kamfinsa","Stanley Mulenga",5767,0.259260924294192,2,0,NA,NA,"Copperbelt","Kitwe"
"195","CHIPILI","Webby",NA,"MMD","1,945","Kamfinsa","Webby Chipili",1945,0.0874393094767128,3,0,NA,NA,"Copperbelt","Kitwe"
"196","NG'ANDWE","Dickson L",NA,"UDF","741","Kamfinsa","Dickson L Ng'andwe",741,0.0333123538931847,4,0,NA,NA,"Copperbelt","Kitwe"
"197","CHABALA","Newton C",NA,"RAINBOW","611","Kamfinsa","Newton C Chabala",611,0.0274680812803453,5,0,NA,NA,"Copperbelt","Kitwe"
"198","LWICHE","Bright",NA,"FDD","298","Kamfinsa","Bright Lwiche",298,0.013396871066355,6,0,NA,NA,"Copperbelt","Kitwe"
"199","MALAMA","Martin",NA,"PF","14,719","Kanchibiya","Martin Malama",14719,0.818586285523608,1,1,12037,0.669428841554975,"Muchinga","Mpika"
"200","CHILEKWA","Josphat",NA,"UPND","2,682","Kanchibiya","Josphat Chilekwa",2682,0.149157443968634,2,0,NA,NA,"Muchinga","Mpika"
"201","BWALYA","Mubanga",NA,"FDD","580","Kanchibiya","Mubanga Bwalya",580,0.0322562705077582,3,0,NA,NA,"Muchinga","Mpika"
"202","MUSHIMBA","Brian",NA,"PF","7,932","Kankoyo","Brian Mushimba",7932,0.597604158818654,1,1,2591,0.195208317637309,"Copperbelt","Mufulira"
"203","MABETA","Heartson",NA,"UPND","5,341","Kankoyo","Heartson Mabeta",5341,0.402395841181346,2,0,NA,NA,"Copperbelt","Mufulira"
"204","MUMBA","Anthony C",NA,"IND","12,554","Kantanshi","Anthony C Mumba",12554,0.652426982642137,1,1,7830,0.406922357343311,"Copperbelt","Mufulira"
"205","MUKANGA","Dingle Y",NA,"PF","4,724","Kantanshi","Dingle Y Mukanga",4724,0.245504625298825,2,0,NA,NA,"Copperbelt","Mufulira"
"206","CHIPILIPILI","Catherine",NA,"UPND","1,832","Kantanshi","Catherine Chipilipili",1832,0.0952083982953955,3,0,NA,NA,"Copperbelt","Mufulira"
"207","NDONGO","Jackson M",NA,"IND","132","Kantanshi","Jackson M Ndongo",132,0.00685999376364203,4,0,NA,NA,"Copperbelt","Mufulira"
"208","PHIRI","Elizabeth",NA,"PF","36,674","Kanyama","Elizabeth Phiri",36674,0.51953534494971,1,1,4740,0.0671483212919676,"Lusaka","Lusaka"
"209","MWALE","Samuel",NA,"UPND","31,934","Kanyama","Samuel Mwale",31934,0.452387023657742,2,0,NA,NA,"Lusaka","Lusaka"
"210","NKOLE","Maggie M",NA,"MMD","1,031","Kanyama","Maggie M Nkole",1031,0.0146054681966284,3,0,NA,NA,"Lusaka","Lusaka"
"211","KAFULI","Levy",NA,"FDD","515","Kanyama","Levy Kafuli",515,0.00729565094205978,4,0,NA,NA,"Lusaka","Lusaka"
"212","MWELWA","Charles",NA,"UNIP","259","Kanyama","Charles Mwelwa",259,0.00366907493979317,5,0,NA,NA,"Lusaka","Lusaka"
"213","CHIYABA","Sydney",NA,"IND","177","Kanyama","Sydney Chiyaba",177,0.00250743731406715,6,0,NA,NA,"Lusaka","Lusaka"
"214","SITWALA","Sitwala M",NA,"UPND","8,135","Kaoma Central","Sitwala M Sitwala",8135,0.603397122088711,1,1,5747,0.426272066458982,"Western","Kaoma"
"215","LIATO","Chisangu A",NA,"PF","2,388","Kaoma Central","Chisangu A Liato",2388,0.177125055629729,2,0,NA,NA,"Western","Kaoma"
"216","CHISANI","George C",NA,"IND","2,185","Kaoma Central","George C Chisani",2185,0.162067942441774,3,0,NA,NA,"Western","Kaoma"
"217","LIBINGA","Tauzeni W",NA,"IND","571","Kaoma Central","Tauzeni W Libinga",571,0.0423527666518321,4,0,NA,NA,"Western","Kaoma"
"218","WAMPATA","Joel",NA,"FDD","203","Kaoma Central","Joel Wampata",203,0.0150571131879543,5,0,NA,NA,"Western","Kaoma"
"219","KAKUBO","Stanley K",NA,"UPND","22,388","Kapiri Mposhi","Stanley K Kakubo",22388,0.49114801570761,1,1,1590,0.034881425092688,"Central","Kapiri Mposhi"
"220","SIINGWA","Chrispin",NA,"PF","20,798","Kapiri Mposhi","Chrispin Siingwa",20798,0.456266590614922,2,0,NA,NA,"Central","Kapiri Mposhi"
"221","MAMBWE","Dorothy M",NA,"MMD","1,772","Kapiri Mposhi","Dorothy M Mambwe",1772,0.0388741416756247,3,0,NA,NA,"Central","Kapiri Mposhi"
"222","DUBE","Tembo P",NA,"FDD","457","Kapiri Mposhi","Tembo P Dube",457,0.0100256674637475,4,0,NA,NA,"Central","Kapiri Mposhi"
"223","MANYANINA","Fredrick",NA,"UPP","168","Kapiri Mposhi","Fredrick Manyanina",168,0.00368558453809534,5,0,NA,NA,"Central","Kapiri Mposhi"
"224","BANDA","Charles R",NA,"PF","12,254","Kapoche","Charles R Banda",12254,0.647674418604651,1,1,7939,0.4196088794926,"Eastern","Sinda"
"225","MWALE","Yvonne D",NA,"IND","4,315","Kapoche","Yvonne D Mwale",4315,0.228065539112051,2,0,NA,NA,"Eastern","Sinda"
"226","BANDA","Davison",NA,"UPND","1,428","Kapoche","Davison Banda",1428,0.0754756871035941,3,0,NA,NA,"Eastern","Sinda"
"227","MWANZA","Jacob",NA,"MMD","505","Kapoche","Jacob Mwanza",505,0.0266913319238901,4,0,NA,NA,"Eastern","Sinda"
"228","LUNGU","Nixon",NA,"FDD","418","Kapoche","Nixon Lungu",418,0.022093023255814,5,0,NA,NA,"Eastern","Sinda"
"229","NG'ONGA","Maxas B.J",NA,"PF","11,120","Kaputa","Maxas B.j Ng'onga",11120,0.557673019057171,1,1,2637,0.132246740220662,"Northern","Kaputa"
"230","NKANDU","Elvis C",NA,"UPND","8,483","Kaputa","Elvis C Nkandu",8483,0.42542627883651,2,0,NA,NA,"Northern","Kaputa"
"231","TANGA","Gershom K",NA,"FDD","337","Kaputa","Gershom K Tanga",337,0.016900702106319,3,0,NA,NA,"Northern","Kaputa"
"232","SAMPA","Kelvin M",NA,"PF","25,427","Kasama Central","Kelvin M Sampa",25427,0.719374186612347,1,1,16068,0.454591750127313,"Northern","Kasama"
"233","MWAMBA","Sibongile",NA,"UPND","9,359","Kasama Central","Sibongile Mwamba",9359,0.264782436485034,2,0,NA,NA,"Northern","Kasama"
"234","MULENGA","Webster",NA,"FDD","397","Kasama Central","Webster Mulenga",397,0.0112318225541787,3,0,NA,NA,"Northern","Kasama"
"235","CHILESHE","Pascal C",NA,"RAINBOW","163","Kasama Central","Pascal C Chileshe",163,0.00461155434844113,4,0,NA,NA,"Northern","Kasama"
"236","TAMBATAMBA","Brenda M",NA,"UPND","15,025","Kasempa","Brenda M Tambatamba",15025,0.723712730600645,1,1,11310,0.544771446462117,"North-Western","Kasempa"
"237","MASUMBA","Peter",NA,"IND","3,715","Kasempa","Peter Masumba",3715,0.178941284138529,2,0,NA,NA,"North-Western","Kasempa"
"238","KASOSA","Dominic",NA,"PF","1,678","Kasempa","Dominic Kasosa",1678,0.0808246230913733,3,0,NA,NA,"North-Western","Kasempa"
"239","KAFUMUKACHE","Tobias",NA,"MMD","268","Kasempa","Tobias Kafumukache",268,0.0129088194210298,4,0,NA,NA,"North-Western","Kasempa"
"240","SHITIMA","Haggai K",NA,"FDD","75","Kasempa","Haggai K Shitima",75,0.00361254274842252,5,0,NA,NA,"North-Western","Kasempa"
"241","KALIMA","Victoria",NA,"PF","12,494","Kasenengwa","Victoria Kalima",12494,0.523813516686232,1,1,9259,0.388185477108838,"Eastern","Chipata"
"242","ZULU","Gideon",NA,"MMD","3,235","Kasenengwa","Gideon Zulu",3235,0.135628039577394,2,0,NA,NA,"Eastern","Chipata"
"243","BANDA","Charles",NA,"IND","2,468","Kasenengwa","Charles Banda",2468,0.103471407009894,3,0,NA,NA,"Eastern","Chipata"
"244","BANDA","Sensio",NA,"RAINBOW","2,157","Kasenengwa","Sensio Banda",2157,0.0904326681200738,4,0,NA,NA,"Eastern","Chipata"
"245","BANDA","Faustin AS",NA,"UPND","1,371","Kasenengwa","Faustin As Banda",1371,0.0574794566493376,5,0,NA,NA,"Eastern","Chipata"
"246","MWALIMU","Gary C",NA,"IND","1,185","Kasenengwa","Gary C Mwalimu",1185,0.0496813684387053,6,0,NA,NA,"Eastern","Chipata"
"247","KAYUNI","Kondwani R",NA,"UNIP","514","Kasenengwa","Kondwani R Kayuni",514,0.0215495555928224,7,0,NA,NA,"Eastern","Chipata"
"248","JERE","Leo K",NA,"FDD","428","Kasenengwa","Leo K Jere",428,0.0179439879255408,8,0,NA,NA,"Eastern","Chipata"
"249","LIVUNE","Derick",NA,"UPND","33,172","Katombola","Derick Livune",33172,0.886004273504273,1,1,30462,0.813621794871795,"Southern","Kazungula"
"250","SIANKOMBWE","Elias",NA,"PF","2,710","Katombola","Elias Siankombwe",2710,0.0723824786324786,2,0,NA,NA,"Southern","Kazungula"
"251","SIETA","Alfred M",NA,"ADD","1,558","Katombola","Alfred M Sieta",1558,0.0416132478632479,3,0,NA,NA,"Southern","Kazungula"
"252","MWASHINGWELE","Patricia C",NA,"UPND","13,076","Katuba","Patricia C Mwashingwele",13076,0.535243553008596,1,1,6851,0.28043389275481,"Central","Chibombo"
"253","SHAKAFUSWA","Jonas",NA,"PF","6,225","Katuba","Jonas Shakafuswa",6225,0.254809660253786,2,0,NA,NA,"Central","Chibombo"
"254","KAPALASA","Aubrey B",NA,"IND","3,138","Katuba","Aubrey B Kapalasa",3138,0.128448628735162,3,0,NA,NA,"Central","Chibombo"
"255","CHIBUNGA","Leonard E",NA,"MMD","824","Katuba","Leonard E Chibunga",824,0.0337290216946377,4,0,NA,NA,"Central","Chibombo"
"256","CHAKAINA","Derrick",NA,"FDD","707","Katuba","Derrick Chakaina",707,0.0289398280802292,5,0,NA,NA,"Central","Chibombo"
"257","HANGOMBA","Lynda M",NA,"RAINBOW","460","Katuba","Lynda M Hangomba",460,0.018829308227589,6,0,NA,NA,"Central","Chibombo"
"258","TEMBO","Listed N",NA,"PF","7,566","Kaumbwe","Listed N Tembo",7566,0.721395881006865,1,1,6056,0.577421815408085,"Eastern","Petauke"
"259","BANDA","Nicholas K",NA,"MMD","1,510","Kaumbwe","Nicholas K Banda",1510,0.14397406559878,2,0,NA,NA,"Eastern","Petauke"
"260","NGOMA","Felix Z",NA,"UPND","1,412","Kaumbwe","Felix Z Ngoma",1412,0.134630053394355,3,0,NA,NA,"Eastern","Petauke"
"261","CHILANGWA","Nickson",NA,"PF","7,090","Kawambwa","Nickson Chilangwa",7090,0.490250311160282,1,1,2358,0.163047987830176,"Luapula","Kawambwa"
"262","SINDAZI","Andrew",NA,"IND","4,732","Kawambwa","Andrew Sindazi",4732,0.327202323330106,2,0,NA,NA,"Luapula","Kawambwa"
"263","CHITIKA","Elizabeth K",NA,"MMD","1,830","Kawambwa","Elizabeth K Chitika",1830,0.126538514728253,3,0,NA,NA,"Luapula","Kawambwa"
"264","KAWANDAMI","Angela C",NA,"UPND","674","Kawambwa","Angela C Kawandami",674,0.0466048955884387,4,0,NA,NA,"Luapula","Kawambwa"
"265","MANCHENE","Alice K",NA,"FDD","136","Kawambwa","Alice K Manchene",136,0.00940395519291938,5,0,NA,NA,"Luapula","Kawambwa"
"266","KASUNE","Princess",NA,"UPND","20,608","Keembe","Princess Kasune",20608,0.652275748559853,1,1,15150,0.479521428119263,"Central","Chibombo"
"267","MWEWA","Anna M",NA,"IND","5,458","Keembe","Anna M Mwewa",5458,0.17275432044059,2,0,NA,NA,"Central","Chibombo"
"268","CHIMINSA","Emmanuel",NA,"PF","5,267","Keembe","Emmanuel Chiminsa",5267,0.166708868772552,3,0,NA,NA,"Central","Chibombo"
"269","MWEEMBA","Migeort K",NA,"FDD","261","Keembe","Migeort K Mweemba",261,0.00826106222700513,4,0,NA,NA,"Central","Chibombo"
"270","MALANJI","Joseph",NA,"PF","25,051","Kwacha","Joseph Malanji",25051,0.688063063063063,1,1,16127,0.442952098439903,"Copperbelt","Kitwe"
"271","MUSHONGO","Faith",NA,"UPND","8,924","Kwacha","Faith Mushongo",8924,0.24511096462316,2,0,NA,NA,"Copperbelt","Kitwe"
"272","PHIRI","Jerome M",NA,"IND","1,401","Kwacha","Jerome M Phiri",1401,0.0384805537244562,3,0,NA,NA,"Copperbelt","Kitwe"
"273","PHIRI","Niza",NA,"FDD","751","Kwacha","Niza Phiri",751,0.0206273346517249,4,0,NA,NA,"Copperbelt","Kitwe"
"274","SAULO","Kelvin",NA,"RAINBOW","281","Kwacha","Kelvin Saulo",281,0.00771808393759613,5,0,NA,NA,"Copperbelt","Kitwe"
"275","MUSOKOTWANE","Situmbeko",NA,"UPND","8,223","Liuwa","Situmbeko Musokotwane",8223,0.76685629021729,1,1,5876,0.547980975473282,"Western","Kalabo"
"276","MWENDA","Mwangala L",NA,"PF","2,347","Liuwa","Mwangala L Mwenda",2347,0.218875314744008,2,0,NA,NA,"Western","Kalabo"
"277","IMASIKU","Lubinda H",NA,"FDD","153","Liuwa","Lubinda H Imasiku",153,0.0142683950387019,3,0,NA,NA,"Western","Kalabo"
"278","JERE","Mathews",NA,"UPND","27,737","Livingstone","Mathews Jere",27737,0.569817367545247,1,1,17747,0.364586971259527,"Southern","Livingstone"
"279","MUNSANJE","Omar B",NA,"PF","9,990","Livingstone","Omar B Munsanje",9990,0.20523039628572,2,0,NA,NA,"Southern","Livingstone"
"280","SIMWIMBA","Edwin A",NA,"IND","8,204","Livingstone","Edwin A Simwimba",8204,0.168539556669474,3,0,NA,NA,"Southern","Livingstone"
"281","NAMUCHANA","Charles",NA,"IND","1,256","Livingstone","Charles Namuchana",1256,0.0258027405140005,4,0,NA,NA,"Southern","Livingstone"
"282","KASHINKA","Michael B",NA,"MMD","391","Livingstone","Michael B Kashinka",391,0.00803254103580747,5,0,NA,NA,"Southern","Livingstone"
"283","SAKAIMBO","Joseph",NA,"RAINBOW","301","Livingstone","Joseph Sakaimbo",301,0.00618361854674692,6,0,NA,NA,"Southern","Livingstone"
"284","MUNKOMBWE","Ian",NA,"UNIP","289","Livingstone","Ian Munkombwe",289,0.00593709554820552,7,0,NA,NA,"Southern","Livingstone"
"285","MWINDA","Joram L",NA,"IND","182","Livingstone","Joram L Mwinda",182,0.00373893214454465,8,0,NA,NA,"Southern","Livingstone"
"286","BEEBE","Precious",NA,"UPP","165","Livingstone","Precious Beebe",165,0.00338969122994433,9,0,NA,NA,"Southern","Livingstone"
"287","HAMUSONDE","Allestair",NA,"FDD","162","Livingstone","Allestair Hamusonde",162,0.00332806048030898,10,0,NA,NA,"Southern","Livingstone"
"288","CHIKOTE","Makozo",NA,"UPND","9,524","Luampa","Makozo Chikote",9524,0.745810493343774,1,1,6603,0.517071260767424,"Western","Luampa"
"289","LIMATA","Josephine M",NA,"PF","2,921","Luampa","Josephine M Limata",2921,0.228739232576351,2,0,NA,NA,"Western","Luampa"
"290","KALIMBWE","Kunga E",NA,"FDD","325","Luampa","Kunga E Kalimbwe",325,0.0254502740798747,3,0,NA,NA,"Western","Luampa"
"291","ZULU","Charles M",NA,"PF","12,883","Luangeni","Charles M Zulu",12883,0.645667318197765,1,1,8717,0.436876660151356,"Eastern","Chipata"
"292","MOYO","Moses F",NA,"UPND","4,166","Luangeni","Moses F Moyo",4166,0.208790658046409,2,0,NA,NA,"Eastern","Chipata"
"293","CIFIRE","Angela N",NA,"MMD","2,315","Luangeni","Angela N Cifire",2315,0.116022653235102,3,0,NA,NA,"Eastern","Chipata"
"294","MITI","Yosi",NA,"IND","589","Luangeni","Yosi Miti",589,0.0295193705207237,4,0,NA,NA,"Eastern","Chipata"
"295","CHUNGU","Stephen",NA,"PF","17,285","Luanshya","Stephen Chungu",17285,0.662235163403701,1,1,9392,0.359832956591702,"Copperbelt","Luanshya"
"296","MULENGA","Helen",NA,"UPND","7,893","Luanshya","Helen Mulenga",7893,0.302402206812,2,0,NA,NA,"Copperbelt","Luanshya"
"297","MINYOI","Munalula",NA,"RAINBOW","923","Luanshya","Munalula Minyoi",923,0.0353626297842995,3,0,NA,NA,"Copperbelt","Luanshya"
"298","KABANSHI","Emerine",NA,"PF","3,564","Luapula","Emerine Kabanshi",3564,0.396572827417381,1,1,828,0.0921330811171692,"Luapula","Lunga"
"299","CHISALA","Daniel L",NA,"UPND","2,736","Luapula","Daniel L Chisala",2736,0.304439746300211,2,0,NA,NA,"Luapula","Lunga"
"300","MWANSA","Phillip K.",NA,"IND","2,194","Luapula","Phillip K. Mwansa",2194,0.244130410593079,3,0,NA,NA,"Luapula","Lunga"
"301","MACHUNGWA","Peter D",NA,"IND","305","Luapula","Peter D Machungwa",305,0.0339379103148993,4,0,NA,NA,"Luapula","Lunga"
"302","MWANSA","Lucas",NA,"FDD","188","Luapula","Lucas Mwansa",188,0.0209191053744297,5,0,NA,NA,"Luapula","Lunga"
"303","MWAMBA","George K",NA,"PF","10,473","Lubansenshi","George K Mwamba",10473,0.638208409506399,1,1,5786,0.352589884216941,"Northern","Luwingu"
"304","MUCHELEKA","Patrick M",NA,"UPND","4,687","Lubansenshi","Patrick M Mucheleka",4687,0.285618525289458,2,0,NA,NA,"Northern","Luwingu"
"305","CHIPALO","Florence M",NA,"MMD","1,250","Lubansenshi","Florence M Chipalo",1250,0.0761730652041438,3,0,NA,NA,"Northern","Luwingu"
"306","KUNDOTI","David M",NA,"UPND","7,898","Luena","David M Kundoti",7898,0.521113750329902,1,1,3029,0.199854842966482,"Western","Limulunga"
"307","ANAKOKA","Mubita B",NA,"ADD","4,869","Luena","Mubita B Anakoka",4869,0.32125890736342,2,0,NA,NA,"Western","Limulunga"
"308","CHANGANO","Kakoma C",NA,"PF","2,181","Luena","Kakoma C Changano",2181,0.143903404592241,3,0,NA,NA,"Western","Limulunga"
"309","SAKUBITA","Likando",NA,"IND","208","Luena","Likando Sakubita",208,0.0137239377144365,4,0,NA,NA,"Western","Limulunga"
"310","CHIYALIKA","Gift",NA,"PF","1,757","Lufubu","Gift Chiyalika",1757,0.551648351648352,1,1,329,0.103296703296703,"Central","Ngabwe"
"311","NAMULAMBE","Gabriel",NA,"IND","1,428","Lufubu","Gabriel Namulambe",1428,0.448351648351648,2,0,NA,NA,"Central","Ngabwe"
"312","FUNGULWE","Leonard K",NA,"UPND","8,154","Lufwanyama","Leonard K Fungulwe",8154,0.565778517901748,1,1,3882,0.269358867610325,"Copperbelt","Lufwanyama"
"313","KALELEKA","Athanase",NA,"PF","4,272","Lufwanyama","Athanase Kaleleka",4272,0.296419650291424,2,0,NA,NA,"Copperbelt","Lufwanyama"
"314","MUNSHYA","Annie",NA,"MMD","1,368","Lufwanyama","Annie Munshya",1368,0.0949208992506245,3,0,NA,NA,"Copperbelt","Lufwanyama"
"315","CHIMENA","Rodgers",NA,"RAINBOW","618","Lufwanyama","Rodgers Chimena",618,0.0428809325562032,4,0,NA,NA,"Copperbelt","Lufwanyama"
"316","MUNKONGE","Mwenya C",NA,"IND","11,870","Lukashya","Mwenya C Munkonge",11870,0.45650334589647,1,1,3934,0.151296054149681,"Northern","Kasama"
"317","KANSEMBE","Alfredah C",NA,"PF","7,936","Lukashya","Alfredah C Kansembe",7936,0.305207291746789,2,0,NA,NA,"Northern","Kasama"
"318","CHEWE","Rodrick C",NA,"UPND","4,180","Lukashya","Rodrick C Chewe",4180,0.160756864856549,3,0,NA,NA,"Northern","Kasama"
"319","BWEUPE","Geoffrey",NA,"UDF","1,123","Lukashya","Geoffrey Bweupe",1123,0.0431889854626567,4,0,NA,NA,"Northern","Kasama"
"320","KALIMINWA","Gabriel M",NA,"FDD","675","Lukashya","Gabriel M Kaliminwa",675,0.0259595415737251,5,0,NA,NA,"Northern","Kasama"
"321","MUTALE","Ephraim",NA,"RAINBOW","218","Lukashya","Ephraim Mutale",218,0.00838397046381048,6,0,NA,NA,"Northern","Kasama"
"322","KALILA","Christopher K",NA,"UPND","12,822","Lukulu East","Christopher K Kalila",12822,0.668857589984351,1,1,9553,0.498330725091288,"Western","Lukulu"
"323","KANDALA","Edwin M",NA,"PF","3,269","Lukulu East","Edwin M Kandala",3269,0.170526864893062,2,0,NA,NA,"Western","Lukulu"
"324","MAYONDI","Fabian M",NA,"RAINBOW","2,772","Lukulu East","Fabian M Mayondi",2772,0.144600938967136,3,0,NA,NA,"Western","Lukulu"
