col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
,,,,NONDE Bornface,PF,"4,648",,,
,,,,SIMBAO Kennedy,NDF,375,,,
,,,,CHILESHE Paul,RP,197,,,
,,,,,,"12,580",284,"12,864","16,709"
,,,,,,,,,
,,,102 Mporokoso,MISAPA Maynard J.,MMD,"3,827",,,
,,,,MUSONDA Mulenga W.,"UPND, FDD, UNIP (UDA)","2,340",,,
,,,,MAKUMBA Abraham,PF,"2,268",,,
,,,,NSAMA Job,APC,143,,,
,,,,,,"8,578",253,"8,831","12,120"
,,,,,,,,,
,,NAKONDE,087 Nakonde,SILAVWE Maka M.,MMD,"11,935",,,
,,,,SICHULA Able,PF,"5,295",,,
,,,,SIMOVWE Michael,"UPND, FDD, UNIP (UDA)",950,,,
,,,,SINKALA Stanley S.,Heritage,278,,,
,,,,,,"6,523",752,"7,275","26,295"
,,,,,,,,,
,,MUNGWI,092 Malole,MUNAILE Emmanuel M.,Independent,"6,660",,,
,,,,MUTALE Matildah M.,PF,"6,576",,,
,,,,MUKUKA Sebio,MMD,"5,807",,,
,,,,MUTALE Georgina C.,Independent,"3,502",,,
,,,,MWICHE Lazarous M.,Independent,"2,781",,,
,,,,BWALYA William M.,Independent,"1,438",,,
,,,,CHILESHE Charity P.,"UPND, FDD, UNIP (UDA)",811,,,
,,,,NKOLE Frentino,APC,425,,,
,,,,,,"28,000",832,"28,832","39,988"
,,,,,,,,,
,,MPULUNGU,096 Mpulungu,CHIBOMBAMILIMO Lameck K.,MMD,"14,617",,,
,,,,CHILESHE Dominic,"UPND, FDD, UNIP (UDA)","1,323",,,
,,,,SIULAPWA Collins C.,PF,869,,,
,,,,NANYANGWE Joyce,APC,467,,,
,,,,,,"17,276",381,"17,657","25,713"
,,,,,,,,,
,NORTH-WESTERN,KABOMPO,104 Kabompo East,CHIKWENDA Jacob,Heritage,postponed to 26.10.06 due,,,
,,,,MUNENU Jonathan,MMD,to death of,,,
,,,SEKESEKE Masela D.,"UPND, FDD, UNIP (UDA)",unenu Jonathan,,"16,148",,
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,,,,,,,,,
,NORTH-WESTERN,,,,,,,,
,,KABOMPO,105 Kabompo West,KALENGA Daniel,MMD,"6,327",,,
,,,,KAVINDELE Enoch P.,Independent,"4,305",,,
,,,,ZAMA Moses K.,"UPND, FDD, UNIP (UDA)","1,275",,,
,,,,,,"11,907",302,"12,209","16,250"
,,,,,,,,,
,,KASEMPA,106 Kasempa,PANDE Kabinga  J.,MMD,"11,877",,,
,,,,BWEUPE John,"UPND, FDD, UNIP (UDA)","1,625",,,
,,,,,,"13,502",380,"13,882","21,310"
,,,,,,,,,
,,MUFUMBWE,107 Mufumbwe,BONSHE Meshack N.,MMD,"6,457",,,
,,,,KAMONDO Eliot,Independent,"6,393",,,
,,,,MUSHALA Bert M.,"UPND, FDD, UNIP (UDA)","1,519",,,
,,,,,,"14,369",380,"14,749","19,641"
,,,,,,,,,
,,MWINILUNGA,108 Mwinilunga East,KATUKA Stephen,"UPND, FDD, UNIP (UDA)","10,706",,,
,,,,KATOKA James,MMD,"10,358",,,
,,,,MUSHIDIKA Benard,APC,"1,057",,,
,,,,,,"22,121",684,"22,805","28,376"
,,,,,,,,,
,,,109 Mwinilunga West,MUCHIMA Elijah,MMD,"12,065",,,
,,,,KAPITA Richard M.,"UPND, FDD, UNIP (UDA)","5,612",,,
,,,,KABEBI Tobby B.,APC,746,,,
,,,,,,"18,423",494,"18,917","23,516"
,,,,,,,,,
,,SOLWEZI,110 Solwezi Central,TETAMASHIMBA Benny,MMD,"10,459",,,
,,,,LUMBA Watson,"UPND, FDD, UNIP (UDA)","6,045",,,
,,,,KATUKA Yobe P.,Independent,"3,013",,,
,,,,KANYAKULA Dennis,Independent,"1,112",,,
,,,,KASEMA Abel,NDF,"1,079",,,
,,,,CHAULEMBI John M.,APC,499,,,
,,,,,,"22,207","1,016","23,223","34,640"
,,,,,,,,,
,,,111 Solwezi East,TAIMA Richard,MMD,"5,049",,,
,,,,KANGWA Patrick H.,"UPND, FDD, UNIP (UDA)","3,216",,,
,,,,,,"8,265",224,"8,489","16,010"
,,,,,,,,,
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,NORTH-WESTERN,,112 Solwezi West,MWANZA Humphrey I.,MMD,"9,024",,,
,,,,SHEMENA Logan,"UPND, FDD, UNIP (UDA)","4,008",,,
,,,,CHIPAWA Nelson M.,Independent,"2,071",,,
,,,,SAWANDA Geoffrey,Independent,681,,,
,,,,CHAULEMBI Nicholas,APC,544,,,
,,,,,,"16,328","1,025","17,353","24,204"
,,,,,,,,,
,,ZAMBEZI,113 Zambezi East,SAYIFWANDA Sarah,MMD,"6,637",,,
,,,,KANDEPU Rosemary Y.,"UPND, FDD, UNIP (UDA)","5,208",,,
,,,,MUKWAKWA Maxwell,Independent,"3,473",,,
,,,,,,"15,318",176,"15,494","20,931"
,,,,,,,,,
,,,114   Zambezi West,KAKOMA Charles,"UPND, FDD, UNIP (UDA)","2,717",,,
,,,,KUCHEKA Prisca C.,Independent,"2,059",,,
,,,,KAMBANGU Samuel S.,MMD,"1,348",,,
,,,,,,"6,124",148,"6,272","9,362"
,,,,,,,,,
,,CHAVUMA,103 Chavuma,KONGA Kenneth,MMD,"8,096",,,
,,,,CHITANGA Kakoma S.,"UPND, FDD, UNIP (UDA)","3,150",,,
,,,,MBAULU Bickson H.,PF,123,,,
,,,,,,"11,369",76,"11,445","14,267"
,,,,,,,,,
,SOUTHERN,CHOMA,115 Choma Central,CHAZANGWE George,"UPND, FDD, UNIP (UDA)","21,280",,,
,,,,MUNSAKA Mostern S.,MMD,"3,833",,,
,,,,ZALOUMIS Jack,Independent,"2,656",,,
,,,,MUJUDA Joseph,NDF,"1,187",,,
,,,,CHILUFYA Felix,PF,965,,,
,,,,,,"29,921",844,"30,765","40,655"
,,,,,,,,,
,,,116 Mbabala,HACHIPUKA Emmanuel M.,"UPND, FDD, UNIP (UDA)","9,427",,,
,,,,MUBAMBASU Choolwe G.,MMD,"3,617",,,
,,,,MUYAMBA Darius H.,Independent,"1,083",,,
,,,,MUTETEETE Kebby,Independent,929,,,
,,,,NYANGA George,Independent,385,,,
,,,,MWELA Timtamande,Independent,378,,,
,,,,,"15,819",360,"16,179","20,066",
,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL,
PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED,
,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS,
,,,,,,,,,
SOUTHERN,CHOMA,117 Pemba,MATONGO David,"UPND, FDD, UNIP (UDA)","12,148",,,,
,,,LWEENDO Samuel S.,MMD,"3,640",,,,
,,,,,"15,788",419,"16,207","19,889",
,,,,,,,,,
,GWEMBE,118 Gwembe,NTUNDU Brian M.,"UPND, FDD, UNIP (UDA)","12,191",,,,
,,,HANTIMBA Jameson M.,MMD,"2,698",,,,
,,,,,"14,889",293,"15,182","18,431",
,,,,,,,,,
,KALOMO,119 Dundumwezi,SINGOMBE Edgar M.,Independent,"6,324",,,,
,,,MUDENDA Emmerson M.,"UPND, FDD, UNIP (UDA)","5,451",,,,
,,,CHIBAMBULA Gilbert M.,MMD,"1,849",,,,
,,,SIKATULU Munsaka P.,Independent,695,,,,
,,,MOONGA Clement,Independent,595,,,,
,,,,,"14,914",651,"15,565","21,994",
,,,,,,,,,
,,120 Kalomo Central,MUNTANGA Request,"UPND, FDD, UNIP (UDA)","12,666",,,,
,,,KAMBONI Harry K.,Independent,"6,863",,,,
,,,MUZYAMBA Solomon C.,MMD,"3,865",,,,
,,,,,"23,394",729,"24,123","31,334",
,,,,,,,,,
,,122 Mapatizya,SEJANI Ackson,"UPND, FDD, UNIP (UDA)","11,165",,,,
,,,SIAMWEELA Emmanuel M.,MMD,"5,413",,,,
,,,SIALUMBA Pauline M.,Independent,919,,,,
,,,SIMWATACHELA Sikalele,APC,470,,,,
,,,,,"17,967",751,"18,718","22,211",
,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL,
PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED,
,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS,
,,,,,,,,,
SOUTHERN,KAZUNGULA,121 Katombola,MUSOKOTWANE Regina,"UPND, FDD, UNIP (UDA)","11,952",,,,
,,,MUSANDA Mathew,MMD,"8,134",,,,
,,,MUKUWA Chrispin,Independent,"2,530",,,,
,,,MWAMPOLE Brighton K,Independent,"1,687",,,,
,,,SHAMPILE Fielder,ULP,432,,,,
,,,MUYABALO Godfrey J.,PF,283,,,,
,,,,,"25,018",752,"25,770","34,538",
,,,,,,,,,
,LIVINGSTONE,123 Livingstone,SIKOTA Sakwiba,ULP,"16,090",,,,
,,,MUHYILA Mutinta,"UPND, FDD, UNIP (UDA)","11,291",,,,
,,,SIMANGO Alice M.,MMD,"8,680",,,,
,,,,,"36,061",474,"36,535","49,089",
,,,,,,,,,
,MAZABUKA,124 Chikankata,HABEENZU Munji,"UPND, FDD, UNIP (UDA)","10,722",,,,
,,,CHOONGO Oast J. C.,MMD,"2,422",,,,
,,,NANCHENGWA Monica M.,Independent,"1,363",,,,
,,,CHISAPI Gibson,PF,"1,202",,,,
,,,,,"15,709",263,"15,972","23,140",
,,,,,,,,,
,,125 Magoye,MWEEMBA Bennie,"UPND, FDD, UNIP (UDA)","7,039",,,,
,,,MACHILA Emmerson,MMD,"3,807",,,,
,,,NG‰ÛªANDU Joshua H.,Independent,"3,283",,,,
,,,MANYONI Felix,PF,347,,,,
,,,,,"14,476",354,"14,830","19,708",
,,,,,,,,,
,,126 Mazabuka Central,NKOMBO Gary,"UPND, FDD, UNIP (UDA)","13,225",,,,
,,,DAWOODJEE Mohammed,Independent,"5,824",,,,
,,,SUMBWA Justino,MMD,"4,651",,,,
,,,ZULU Donald,PF,989,,,,
,,,,,"24,689",333,"25,022","34,793",
,,,,,,,,,
,MONZE,127 Bweengwa,HAMUDUDU Highvie H.,"UPND, FDD, UNIP (UDA)","10,744",,,,
,,,SIKALUNDU David,MMD,"1,368",,,,
,,,,,"12,112",159,"12,271","15,851",
,,,,,,,,,
,,128 Monze Central,MWIIMBU Jack J.,"UPND, FDD, UNIP (UDA)","18,296",,,,
,,,HAMAAMBA Tyson,MMD,"4,899",,,,
,,,,,"23,195",505,"23,700","30,971",
,,,,,,,,,
,,129 Moomba,MOOYA Vitalis M.,"UPND, FDD, UNIP (UDA)","6,323",,,,
,,,KANTEMBA Mary N.,MMD,"1,709",,,,
,,,MOONGA Maurice H.,PF,173,,,,
,,,,,"8,205",202,"8,407","10,735",
,,,,,,,,,
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,,,,,,,,,
,SOUTHERN,ITEZHI-TEZHI,130 Itezhi-Tezhi,BEENE Godfrey M.,"UPND, FDD, UNIP (UDA)","7,614",,,
,,,,KAANDE Godfrey J. S.,MMD,"5,292",,,
,,,,SAKAUMBA Kenneth,Independent,372,,,
,,,,CHIBULAMUKOWA Fraser,PF,270,,,
,,,,,,"13,548",284,"13,832","21,076"
,,,,,,,,,
,,NAMWALA,131 Namwala,CHIZHYUKA Robbie M.,"UPND, FDD, UNIP (UDA)","14,466",,,
,,,,DIANGAMO David,MMD,"4,558",,,
,,,,,,"19,024",242,"19,266","26,884"
,,,,,,,,,
,,SIAVONGA,132 Siavonga,SYAKALIMA Douglas M.,"UPND, FDD, UNIP (UDA)","10,451",,,
,,,,HAMUDULU Kennedy,Independent,"4,958",,,
,,,,SIMAMBA Costain,MMD,"4,285",,,
,,,,MANJAWANTHU Ephraim M.,PF,968,,,
,,,,CHAATILA Christopher J.,Independent,572,,,
,,,,,,"21,234",822,"22,056","27,962"
,,,,,,,,,
,,SINAZONGWE,133 Sinazongwe,MUYANDA Raphael,"UPND, FDD, UNIP (UDA)","10,509",,,
,,,,SIAMUNENE Richwell,Independent,"8,484",,,
,,,,SINDAZA Dodo A.,MMD,"6,223",,,
,,,,,,"25,216","1,457","26,673","34,230"
,,,,,,,,,
,WESTERN,KALABO,134  Kalabo Central,MWAPELA Sikwibele R.,MMD,"8,259",,,
,,,,MIYUTU Chinga,Independent,"2,905",,,
,,,,KAKOMA Queen V.,"UPND, FDD, UNIP (UDA)","2,646",,,
,,,,NYAMBE Inambao,ULP,519,,,
,,,,SIMONGA Musiyalike,Independent,427,,,
,,,,MOOTO Kalowa,Independent,102,,,
,,,,WAKUMELO Mubita,APC,76,,,
,,,,NYAMBE LIEMISA,NDF,75,,,
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,,,,,,,,,
,WESTERN,KALABO,135 Liuwa,KASHWEKA Maliwa D.,MMD,"4,088",,,
,,,,IMIKENDU Nabiwa,Independent,"1,985",,,
,,,,IMASIKU Mutangelwa,"UPND, FDD, UNIP (UDA)",588,,,
,,,,WAMULUME Bataba M.,ULP,478,,,
,,,,KWALEYELA Libi F.,Independent,106,,,
,,,,LIEMISA Liemisa L.,NDF,59,,,
,,,,KAMWENGO Kamuti,APC,57,,,
,,,,,,"7,361",185,"7,546","10,325"
,,,,,,,,,
,,,136 Sikongo,NDALAMEI Mundia,MMD,"6,680",,,
,,,,MWALYE Henry I.,"UPND, FDD, UNIP (UDA)","2,004",,,
,,,,SAMUTUMWA Nyambe R.,Independent,635,,,
,,,,NASILELE Lubinda,ULP,265,,,
,,,,,,"9,584",579,"10,163","15,488"
,,,,,,,,,
,,KAOMA,137 Kaoma Central,LIATO Austin C.,MMD,"7,246",,,
,,,,KALEKA Maseka E.,ULP,"5,546",,,
,,,,SHUMINA Chrispin M.,"UPND, FDD, UNIP (UDA)","2,149",,,
,,,,MUKAMBA Lubasi R.,Independent,"1,058",,,
,,,,,,"15,999",344,"16,343","27,598"
,,,,,,,,,
,,,138 Luampa,LIMATA Mwiya J.,UPND,"6,169",,,
,,,,MANJATA Mashata S.,MMD,"5,363",,,
,,,,WAMPATA Joel,ULP,221,,,
,,,,,,"11,753",669,"12,422","17,306"
,,,,,,,,,
,,,139 Mangango,AKAKANDELWA Mwendoi,MMD,"4,699",,,
,,,,TAUNDI Robert C.,Independent,"2,340",,,
,,,,MULUBISHA Webby,"UPND, FDD, UNIP (UDA)","1,897",,,
,,,,CHINGUMBE Janet C.,Independent,271,,,
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,,,,,,,,,
,WESTERN,LUKULU,140 Lukulu East,IMENDA Batuke,ULP,"8,081",,,
,,,,LUHILA Cadman L.,MMD,"5,199",,,
,,,,MANENGU Mbambi,"UPND, FDD, UNIP (UDA)",337,,,
,,,,AKAMANA Debby M.,Heritage,334,,,
,,,,NKOMESHA Edwin N.,Independent,212,,,
,,,,KABILA Lubasi B.,APC,151,,,
,,,,,,"14,314",214,"14,528","21,071"
,,,,,,,,,
,,,141 Lukulu West,IMBWAE Eileen,ULP,"3,400",,,
,,,,NAMAKANDO Simasiku,MMD,"3,354",,,
,,,,KAMUTI Vincent N.,"UPND, FDD, UNIP (UDA)",231,,,
,,,,KAZHILA Peter K.,PF,133,,,
,,,,,,"7,118",55,"7,173","10,029"
,,,,,,,,,
,,MONGU,142 Luena,MILUPI Charles L.,Independent,"6,410",,,
,,,,SILUMESII Kalumyana L.,MMD,"4,450",,,
,,,,SIBETTA Crispin U.,"UPND, FDD, UNIP (UDA)",186,,,
,,,,MUSOLE Sikatala,APC,145,,,
,,,,LUBASI Phillip N.,PF,124,,,
,,,,,,"11,315",266,"11,581","15,642"
,,,,,,,,,
,,,143 Mongu Central,MULYATA Joseph,MMD,"10,438",,,
,,,,SIMENDA Francis Z.,ULP,"6,090",,,
,,,,MUBUKWANU Nathaniel M.,Independent,"5,569",,,
,,,,MWANAWINA Mbanga H.,"UPND, FDD, UNIP (UDA)",605,,,
,,,,KALIMOSHO Mukelabai,Independent,209,,,
,,,,MUNEMBO Munembo,APC,161,,,
,,,,,,"23,072",492,"23,564","34,991"
,,,,,,,,,
,,,144 Nalikwanda,LUNGWANGWA,MMD,"6,394",,,
,,,,Lungwangwa G.,,,,,
,,,,KALUMANIA Simasiku,ULP,"1,960",,,
,,,,MWAYANGUBA Bertha M.,Independent,"1,110",,,
,,,,SAKWIYA Kanatu S.,"UPND, FDD, UNIP (UDA)",349,,,
,,,,LIAMBANGO Wamumei E.,Independent,286,,,
,,,,MUNDIA Sakubita O.,APC,154,,,
,,,,,,"10,253",366,"10,619","16,635"
,,,,,,,,,
,,SENANGA,145 Nalolo,MWANGALA Mubita M.,MMD,"7,179",,,
,,,,WINA Inonge M.,ULP,"5,442",,,
,,,,MUBITA Mbalama I.,"UPND, FDD, UNIP (UDA)",938,,,
,,,,ANAMELA Eunice K.,Heritage,326,,,
,,,,NAWA Patrick,Independent,193,,,
,,,,NDIYOYI Kanyata,APC,78,,,
,,,,HANGUBO Fabian,Independent,59,,,
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,,,,,,,,,
,WESTERN,SENANGA,146 Senanga Central,SINYINDA Clement W.,MMD,"10,979",,,
,,,,SITUMBEKO Walusiku A.,ULP,"2,262",,,
,,,,ANAMELA Njekwa E.,"UPND, FDD, UNIP (UDA)","1,450",,,
,,,,NAMAKANDO Samuel A.,Independent,644,,,
,,,,NGENDA Wamunyima,Independent,436,,,
,,,,,,"15,771",395,"16,166","23,538"
,,,,,,,,,
,,SESHEKE,148 Mulobezi,MABENGA Michael M.,MMD,"4,641",,,
,,,,MUSIALELA Fabian,"UPND, FDD, UNIP (UDA)","2,575",,,
,,,,,,"7,216",168,"7,384","10,752"
,,,,,,,,,
,,,149 Mwandi,KAINGU Liwanga,MMD,"5,179",,,
,,,,ALISINDA Mutonga J.,"UPND, FDD, UNIP (UDA)","1,691",,,
,,,,,,"6,870",138,"7,008","9,844"
,,,,,,,,,
,,,150 Sesheke Central,MUFALALI Adons S.,MMD,"7,126",,,
,,,,LIBELEKI Mwangala R.,Independent,"1,482",,,
,,,,LLOYD David P.,"UPND, FDD, UNIP (UDA)",819,,,
,,,,HARRINGTON Geoffrey A.,ULP,280,,,
,,,,LUBINDA Matomola,Independent,245,,,
,,,,,,"9,952",223,"10,175","14,592"
,,,,,,,,,
,,SHANGOMBO,147 Sinjembela,MUBIKA Mubika,MMD,"11,754",,,
,,,,NJEULU Poniso,ULP,"7,894",,,
,,,,LIYUNGU Paul M.,Independent,"1,347",,,
,,,,,,"20,995",653,"21,648","31,458"