1 CHISAMBA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"6,376",51.00,19.16,,,,,
"",,HICHILEMA HAKAINDE,UPND,"4,234",34.00,12.72,,,,,
"",,SATA MICHAEL C,PF,"1,682",13.00,5.05,,,,,
"",,MIYANDA GODFREY K,HERITAGE,82,1.00,0.25,,,,,
Totals for CHISAMBA,,,,,,,180,1.43,"12,554","33,286",37.72
2 KATUBA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"5,864",58.00,25.87,,,,,
"",,HICHILEMA HAKAINDE,UPND,"2,684",26.00,11.84,,,,,
"",,SATA MICHAEL C,PF,"1,372",13.00,6.05,,,,,
"",,MIYANDA GODFREY K,HERITAGE,74,1.00,0.33,,,,,
Totals for KATUBA,,,,,,,179,1.76,"10,173","22,663",44.89
3 KEEMBE,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"11,627",63.00,26.90,,,,,
"",,HICHILEMA HAKAINDE,UPND,"4,420",24.00,10.23,,,,,
"",,SATA MICHAEL C,PF,"1,915",10.00,4.43,,,,,
"",,MIYANDA GODFREY K,HERITAGE,114,1.00,0.26,,,,,
Totals for KEEMBE,,,,,,,375,2.03,"18,451","43,219",42.69
4 BWACHA,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"6,586",46.00,21.73,,,,,
"",,BANDA RUPIAH B,MMD,"6,051",42.00,19.96,,,,,
"",,HICHILEMA HAKAINDE,UPND,"1,277",9.00,4.21,,,,,
"",,MIYANDA GODFREY K,HERITAGE,96,1.00,0.32,,,,,
Totals for BWACHA,,,,,,,250,1.75,"14,260","30,313",47.04
5 KABWE CENTRAL,,,,,,,,,,
SATA MICHAEL C,,PF,"10,270",52.00,25.29,,,,,
BANDA RUPIAH B,,MMD,"6,989",36.00,17.21,,,,,
HICHILEMA HAKAINDE,,UPND,"1,928",10.00,4.75,,,,,
MIYANDA GODFREY K,,HERITAGE,137,1.00,0.34,,,,,
Totals for KABWE CENTRAL,,,,,,287,1.46,"19,611","40,611",48.29
6 KAPIRI MPOSHI,,,,,,,,,,
BANDA RUPIAH B,,MMD,"13,883",57.00,20.30,,,,,
SATA MICHAEL C,,PF,"5,868",24.00,8.58,,,,,
HICHILEMA HAKAINDE,,UPND,"4,149",17.00,6.07,,,,,
MIYANDA GODFREY K,,HERITAGE,153,1.00,0.22,,,,,
Totals for KAPIRI MPOSHI,,,,,,403,1.65,"24,456","68,404",35.75
7 MKUSHI NORTH,,,,,,,,,,
BANDA RUPIAH B,,MMD,"7,492",66.00,25.66,,,,,
SATA MICHAEL C,,PF,"2,682",24.00,9.19,,,,,
HICHILEMA HAKAINDE,,UPND,913,8.00,3.13,,,,,
MIYANDA GODFREY K,,HERITAGE,53,0.00,0.18,,,,,
Totals for MKUSHI NORTH,,,,,,227,2.00,"11,367","29,196",38.93
8 MKUSHI SOUTH,,,,,,,,,,
BANDA RUPIAH B,,MMD,"2,774",69.00,28.87,,,,,
HICHILEMA HAKAINDE,,UPND,669,17.00,6.96,,,,,
SATA MICHAEL C,,PF,489,12.00,5.09,,,,,
MIYANDA GODFREY K,,HERITAGE,26,1.00,0.27,,,,,
Totals for MKUSHI SOUTH,,,,,,54,1.35,"4,012","9,610",41.75
9 MWEMBEZHI,,,,,,,,,,,
"",HICHILEMA HAKAINDE,,UPND,"3,947",47.00,21.41,,,,,
"",BANDA RUPIAH B,,MMD,"3,334",40.00,18.08,,,,,
"",SATA MICHAEL C,,PF,880,10.00,4.77,,,,,
"",MIYANDA GODFREY K,,HERITAGE,140,2.00,0.76,,,,,
Totals for MWEMBEZHI,,,,,,,100,1.19,"8,401","18,439",45.56
10 MUMBWA,,,,,,,,,,,
"",BANDA RUPIAH B,,MMD,"5,571",54.00,22.48,,,,,
"",HICHILEMA HAKAINDE,,UPND,"3,516",34.00,14.19,,,,,
"",SATA MICHAEL C,,PF,966,9.00,3.90,,,,,
"",MIYANDA GODFREY K,,HERITAGE,77,1.00,0.31,,,,,
Totals for MUMBWA,,,,,,,151,1.47,"10,281","24,779",41.49
11 NANGOMA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"3,774",46.00,19.45,,,,,
"",,HICHILEMA HAKAINDE,UPND,"3,621",45.00,18.66,,,,,
"",,SATA MICHAEL C,PF,548,7.00,2.82,,,,,
"",,MIYANDA GODFREY K,HERITAGE,72,1.00,0.37,,,,,
Totals for NANGOMA,,,,,,,119,1.46,"8,134","19,403",41.92
12 CHITAMBO,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"2,252",54.00,17.47,,,,,
"",,SATA MICHAEL C,PF,"1,755",42.00,13.62,,,,,
"",,HICHILEMA HAKAINDE,UPND,93,2.00,0.72,,,,,
"",,MIYANDA GODFREY K,HERITAGE,13,0.00,0.10,,,,,
Totals for CHITAMBO,,,,,,,71,1.70,"4,184","12,887",32.47
13 MUCHINGA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"2,944",71.00,22.44,,,,,
"",,SATA MICHAEL C,PF,"1,000",24.00,7.62,,,,,
"",,HICHILEMA HAKAINDE,UPND,131,3.00,1.00,,,,,
"",,MIYANDA GODFREY K,HERITAGE,20,0.00,0.15,,,,,
Totals for MUCHINGA,,,,,,,60,1.44,"4,155","13,122",31.66
14 SERENJE,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"3,247",62.00,19.78,,,,,
"",,SATA MICHAEL C,PF,"1,643",31.00,10.01,,,,,
"",,HICHILEMA HAKAINDE,UPND,239,5.00,1.46,,,,,
"",,MIYANDA GODFREY K,HERITAGE,23,0.00,0.14,,,,,
Totals for SERENJE,,,,,,,88,1.68,"5,240","16,417",31.92
15 CHILILABOMBWE,,,,,,,,,,
"",SATA MICHAEL C,PF,"10,797",68.00,36.41,,,,,
"",BANDA RUPIAH B,MMD,"3,944",25.00,13.30,,,,,
"",HICHILEMA HAKAINDE,UPND,882,6.00,2.97,,,,,
"",MIYANDA GODFREY K,HERITAGE,89,1.00,0.30,,,,,
Totals for CHILILABOMBWE,,,,,,135,0.85,"15,847","29,654",53.44
16 CHINGOLA,,,,,,,,,,
"",SATA MICHAEL C,PF,"13,158",64.00,32.68,,,,,
"",BANDA RUPIAH B,MMD,"5,645",27.00,14.02,,,,,
"",HICHILEMA HAKAINDE,UPND,"1,675",8.00,4.16,,,,,
"",MIYANDA GODFREY K,HERITAGE,159,1.00,0.39,,,,,
Totals for CHINGOLA,,,,,,0,0.00,"20,637","40,265",51.25
17 NCHANGA,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"13,688",79.00,46.46,,,,,
"",,BANDA RUPIAH B,MMD,"2,575",15.00,8.74,,,,,
"",,HICHILEMA HAKAINDE,UPND,866,5.00,2.94,,,,,
"",,MIYANDA GODFREY K,HERITAGE,146,1.00,0.50,,,,,
Totals for NCHANGA,,,,,,,40,0.23,"17,315","29,464",58.77
18 KALULUSHI,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"10,939",56.00,30.14,,,,,
"",,BANDA RUPIAH B,MMD,"7,085",36.00,19.52,,,,,
"",,HICHILEMA HAKAINDE,UPND,"1,068",6.00,2.94,,,,,
"",,MIYANDA GODFREY K,HERITAGE,110,1.00,0.30,,,,,
Totals for KALULUSHI,,,,,,,209,1.08,"19,411","36,291",53.49
19 CHIMWEMWE,,,,,,,,,,,
"",SATA MICHAEL C,,PF,"11,643",65.00,37.48,,,,,
"",BANDA RUPIAH B,,MMD,"5,324",30.00,17.14,,,,,
"",HICHILEMA HAKAINDE,,UPND,678,4.00,2.18,,,,,
"",MIYANDA GODFREY K,,HERITAGE,72,0.00,0.23,,,,,
Totals for CHIMWEMWE,,,,,,,206,1.15,"17,923","31,066",57.69
20 KAMFINSA,,,,,,,,,,,
"",SATA MICHAEL C,,PF,"8,943",64.00,35.22,,,,,
"",BANDA RUPIAH B,,MMD,"4,043",29.00,15.92,,,,,
"",HICHILEMA HAKAINDE,,UPND,750,5.00,2.95,,,,,
"",MIYANDA GODFREY K,,HERITAGE,89,1.00,0.35,,,,,
Totals for KAMFINSA,,,,,,,153,1.09,"13,978","25,392",55.05
21 KWACHA,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"14,428",65.00,35.68,,,,,
"",,BANDA RUPIAH B,MMD,"5,850",26.00,14.47,,,,,
"",,HICHILEMA HAKAINDE,UPND,"1,421",6.00,3.51,,,,,
"",,MIYANDA GODFREY K,HERITAGE,160,1.00,0.40,,,,,
Totals for KWACHA,,,,,,,291,1.31,"22,150","40,435",54.78
22 NKANA,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"12,323",74.00,42.79,,,,,
"",,BANDA RUPIAH B,MMD,"3,037",18.00,10.54,,,,,
"",,HICHILEMA HAKAINDE,UPND,917,6.00,3.18,,,,,
"",,MIYANDA GODFREY K,HERITAGE,105,1.00,0.36,,,,,
Totals for NKANA,,,,,,,166,1.00,"16,548","28,802",57.45
23 WUSAKILE,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"11,968",75.00,44.19,,,,,
"",,BANDA RUPIAH B,MMD,"3,335",21.00,12.31,,,,,
"",,HICHILEMA HAKAINDE,UPND,557,3.00,2.06,,,,,
"",,MIYANDA GODFREY K,HERITAGE,58,0.00,0.21,,,,,
Totals for WUSAKILE,,,,,,,131,0.82,"16,049","27,083",59.26
24 LUANSHYA,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"9,620",57.00,28.99,,,,,
"",,BANDA RUPIAH B,MMD,"6,188",37.00,18.65,,,,,
"",,HICHILEMA HAKAINDE,UPND,829,5.00,2.50,,,,,
"",,MIYANDA GODFREY K,HERITAGE,97,1.00,0.29,,,,,
Totals for LUANSHYA,,,,,,,208,1.23,"16,942","33,186",51.05
25 ROAN,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"7,634",64.00,36.69,,,,,
"",,BANDA RUPIAH B,MMD,"3,767",32.00,18.10,,,,,
"",,HICHILEMA HAKAINDE,UPND,339,3.00,1.63,,,,,
"",,MIYANDA GODFREY K,HERITAGE,54,0.00,0.26,,,,,
Totals for ROAN,,,,,,,60,0.51,"11,854","20,809",56.97
26 KANKOYO,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"6,200",69.00,39.28,,,,,
"",,BANDA RUPIAH B,MMD,"2,254",25.00,14.28,,,,,
"",,HICHILEMA HAKAINDE,UPND,345,4.00,2.19,,,,,
"",,MIYANDA GODFREY K,HERITAGE,42,0.00,0.27,,,,,
Totals for KANKOYO,,,,,,,93,1.04,"8,934","15,786",56.59
27 KANTANSHI,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"10,595",77.00,43.97,,,,,
"",,BANDA RUPIAH B,MMD,"2,569",19.00,10.66,,,,,
"",,HICHILEMA HAKAINDE,UPND,433,3.00,1.80,,,,,
"",,MIYANDA GODFREY K,HERITAGE,66,0.00,0.27,,,,,
Totals for KANTANSHI,,,,,,,139,1.01,"13,802","24,094",57.28
28 MUFULIRA,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"6,261",60.00,30.86,,,,,
"",,BANDA RUPIAH B,MMD,"3,481",33.00,17.16,,,,,
"",,HICHILEMA HAKAINDE,UPND,489,5.00,2.41,,,,,
"",,MIYANDA GODFREY K,HERITAGE,69,1.00,0.34,,,,,
Totals for MUFULIRA,,,,,,,165,1.58,"10,465","20,287",51.58
29 KAFULAFUTA,,,,,,,,,,,
BANDA RUPIAH B,,,MMD,"4,228",69.00,29.70,,,,,
SATA MICHAEL C,,,PF,"1,437",23.00,10.09,,,,,
HICHILEMA HAKAINDE,,,UPND,256,4.00,1.80,,,,,
MIYANDA GODFREY K,,,HERITAGE,32,1.00,0.22,,,,,
Totals for KAFULAFUTA,,,,,,,165,2.70,"6,118","14,236",42.98
30 LUFWANYAMA,,,,,,,,,,,
BANDA RUPIAH B,,,MMD,"6,450",72.00,24.44,,,,,
SATA MICHAEL C,,,PF,"1,516",17.00,5.74,,,,,
HICHILEMA HAKAINDE,,,UPND,766,9.00,2.90,,,,,
MIYANDA GODFREY K,,,HERITAGE,40,0.00,0.15,,,,,
Totals for LUFWANYAMA,,,,,,,174,1.95,"8,946","26,389",33.90
31 MASAITI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"8,016",82.00,38.16,,,,,
"",,SATA MICHAEL C,PF,"1,280",13.00,6.09,,,,,
"",,HICHILEMA HAKAINDE,UPND,264,3.00,1.26,,,,,
"",,MIYANDA GODFREY K,HERITAGE,26,0.00,0.12,,,,,
Totals for MASAITI,,,,,,,191,1.95,"9,777","21,008",46.54
32 MPONGWE,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"7,525",72.00,25.31,,,,,
"",,SATA MICHAEL C,PF,"1,854",18.00,6.24,,,,,
"",,HICHILEMA HAKAINDE,UPND,917,9.00,3.08,,,,,
"",,MIYANDA GODFREY K,HERITAGE,28,0.00,0.09,,,,,
Totals for MPONGWE,,,,,,,130,1.24,"10,454","29,734",35.16
33 BWANANKUBWA,,,,,,,,,,
"",SATA MICHAEL C,PF,"12,056",66.00,35.30,,,,,
"",BANDA RUPIAH B,MMD,"4,718",26.00,13.81,,,,,
"",HICHILEMA HAKAINDE,UPND,"1,145",6.00,3.35,,,,,
"",MIYANDA GODFREY K,HERITAGE,114,1.00,0.33,,,,,
Totals for BWANANKUBWA,,,,,,310,1.69,"18,343","34,155",53.71
34 CHIFUBU,,,,,,,,,,
"",SATA MICHAEL C,PF,"10,343",61.00,35.36,,,,,
"",BANDA RUPIAH B,MMD,"5,150",31.00,17.61,,,,,
"",HICHILEMA HAKAINDE,UPND,920,5.00,3.15,,,,,
"",MIYANDA GODFREY K,HERITAGE,96,1.00,0.33,,,,,
Totals for CHIFUBU,,,,,,363,2.15,"16,872","29,252",57.68
35 KABUSHI,,,,,,,,,,,
"",SATA MICHAEL C,,PF,"11,944",71.00,40.24,,,,,
"",BANDA RUPIAH B,,MMD,"3,815",23.00,12.85,,,,,
"",HICHILEMA HAKAINDE,,UPND,779,5.00,2.62,,,,,
"",MIYANDA GODFREY K,,HERITAGE,97,1.00,0.33,,,,,
Totals for KABUSHI,,,,,,,284,1.68,"16,919","29,684",57.00
36 NDOLA CENTRAL,,,,,,,,,,,
"",SATA MICHAEL C,,PF,"12,460",60.00,32.13,,,,,
"",BANDA RUPIAH B,,MMD,"6,226",30.00,16.06,,,,,
"",HICHILEMA HAKAINDE,,UPND,"1,550",7.00,4.00,,,,,
"",MIYANDA GODFREY K,,HERITAGE,273,1.00,0.70,,,,,
Totals for NDOLA CENTRAL,,,,,,,403,1.93,"20,912","38,776",53.93
37 CHADIZA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"5,957",79.00,32.66,,,,,
"",,HICHILEMA HAKAINDE,UPND,844,11.00,4.63,,,,,
"",,SATA MICHAEL C,PF,502,7.00,2.75,,,,,
"",,MIYANDA GODFREY K,HERITAGE,87,1.00,0.48,,,,,
Totals for CHADIZA,,,,,,,125,1.66,"7,515","18,242",41.20
38 VUBWI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"3,925",80.00,29.67,,,,,
"",,HICHILEMA HAKAINDE,UPND,452,9.00,3.42,,,,,
"",,SATA MICHAEL C,PF,373,8.00,2.82,,,,,
"",,MIYANDA GODFREY K,HERITAGE,65,1.00,0.49,,,,,
Totals for VUBWI,,,,,,,90,1.83,"4,905","13,231",37.07
39 CHAMA NORTH,,,,,,,,,,
BANDA RUPIAH B,,MMD,"4,472",57.00,24.58,,,,,
SATA MICHAEL C,,PF,"2,996",38.00,16.47,,,,,
HICHILEMA HAKAINDE,,UPND,254,3.00,1.40,,,,,
MIYANDA GODFREY K,,HERITAGE,63,1.00,0.35,,,,,
Totals for CHAMA NORTH,,,,,,115,1.46,"7,900","18,191",43.43
40 CHAMA SOUTH,,,,,,,,,,
BANDA RUPIAH B,,MMD,"4,749",57.00,29.65,,,,,
SATA MICHAEL C,,PF,"3,091",37.00,19.30,,,,,
HICHILEMA HAKAINDE,,UPND,271,3.00,1.69,,,,,
MIYANDA GODFREY K,,HERITAGE,56,1.00,0.35,,,,,
Totals for CHAMA SOUTH,,,,,,111,1.34,"8,278","16,015",51.69
41 CHIPANGALI,,,,,,,,,,,
BANDA RUPIAH B,,,MMD,"9,181",81.00,27.54,,,,,
SATA MICHAEL C,,,PF,"1,141",10.00,3.42,,,,,
HICHILEMA HAKAINDE,,,UPND,740,7.00,2.22,,,,,
MIYANDA GODFREY K,,,HERITAGE,98,1.00,0.29,,,,,
Totals for CHIPANGALI,,,,,,,207,1.82,"11,367","33,343",34.09
42 CHIPATA CENTRAL,,,,,,,,,,,
BANDA RUPIAH B,,,MMD,"10,556",64.00,27.69,,,,,
SATA MICHAEL C,,,PF,"4,592",28.00,12.04,,,,,
HICHILEMA HAKAINDE,,,UPND,923,6.00,2.42,,,,,
MIYANDA GODFREY K,,,HERITAGE,92,1.00,0.24,,,,,
Totals for CHIPATA CENTRAL,,,,,,,268,1.63,"16,431","38,126",43.10
43 KASENENGWA,,,,,,,,,,
"",BANDA RUPIAH B,MMD,"10,110",83.00,31.05,,,,,
"",SATA MICHAEL C,PF,"1,278",10.00,3.92,,,,,
"",HICHILEMA HAKAINDE,UPND,547,4.00,1.68,,,,,
"",MIYANDA GODFREY K,HERITAGE,110,1.00,0.34,,,,,
Totals for KASENENGWA,,,,,,149,1.22,"12,194","32,563",37.45
44 LUANGENI,,,,,,,,,,
"",BANDA RUPIAH B,MMD,"7,944",76.00,32.03,,,,,
"",HICHILEMA HAKAINDE,UPND,"1,173",11.00,4.73,,,,,
"",SATA MICHAEL C,PF,"1,125",11.00,4.54,,,,,
"",MIYANDA GODFREY K,HERITAGE,99,1.00,0.40,,,,,
Totals for LUANGENI,,,,,,174,1.65,"10,515","24,799",42.40
45 MILANZI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"5,872",73.00,29.77,,,,,
"",,HICHILEMA HAKAINDE,UPND,"1,050",13.00,5.32,,,,,
"",,SATA MICHAEL C,PF,849,11.00,4.30,,,,,
"",,MIYANDA GODFREY K,HERITAGE,129,2.00,0.65,,,,,
Totals for MILANZI,,,,,,,118,1.47,"8,018","19,727",40.64
46 MKAIKA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"9,527",81.00,35.46,,,,,
"",,SATA MICHAEL C,PF,"1,544",13.00,5.75,,,,,
"",,HICHILEMA HAKAINDE,UPND,406,3.00,1.51,,,,,
"",,MIYANDA GODFREY K,HERITAGE,60,1.00,0.22,,,,,
Totals for MKAIKA,,,,,,,243,2.06,"11,780","26,869",43.84
CONSTITUENCY,CANDIDATE,PARTY,VOTES,%,%,Rejected,Rejected,Total,Registered,Voter
"",,,OBTAINED,Against,Against,Ballot,Ballot,Votes,Voters,Turnout
"",,,,Votes,registered,Papers,Papers %,Cast,,
"",,,,cast,,,,,,
47 SINDA,,,,,,,,,,
"",BANDA RUPIAH B,MMD,"10,271",86.00,41.69,,,,,
"",SATA MICHAEL C,PF,753,6.00,3.06,,,,,
"",HICHILEMA HAKAINDE,UPND,409,3.00,1.66,,,,,
"",MIYANDA GODFREY K,HERITAGE,126,1.00,0.51,,,,,
Totals for SINDA,,,,,,318,2.68,"11,877","24,635",48.21
48 CHASEFU,,,,,,,,,,
"",BANDA RUPIAH B,MMD,"7,572",62.00,23.69,,,,,
"",SATA MICHAEL C,PF,"2,849",23.00,8.91,,,,,
"",HICHILEMA HAKAINDE,UPND,"1,364",11.00,4.27,,,,,
"",MIYANDA GODFREY K,HERITAGE,196,2.00,0.61,,,,,
Totals for CHASEFU,,,,,,271,2.21,"12,252","31,961",38.33
49 LUMEZI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"6,772",63.00,22.40,,,,,
"",,SATA MICHAEL C,PF,"3,176",30.00,10.50,,,,,
"",,HICHILEMA HAKAINDE,UPND,465,4.00,1.54,,,,,
"",,MIYANDA GODFREY K,HERITAGE,113,1.00,0.37,,,,,
Totals for LUMEZI,,,,,,,177,1.65,"10,703","30,236",35.40
50 LUNDAZI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"12,696",71.00,32.92,,,,,
"",,SATA MICHAEL C,PF,"3,639",20.00,9.43,,,,,
"",,HICHILEMA HAKAINDE,UPND,904,5.00,2.34,,,,,
"",,MIYANDA GODFREY K,HERITAGE,220,1.00,0.57,,,,,
Totals for LUNDAZI,,,,,,,309,1.74,"17,768","38,572",46.06
51 MALAMBO,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"5,389",67.00,24.56,,,,,
"",,SATA MICHAEL C,PF,"1,898",24.00,8.65,,,,,
"",,HICHILEMA HAKAINDE,UPND,520,7.00,2.37,,,,,
"",,MIYANDA GODFREY K,HERITAGE,71,1.00,0.32,,,,,
Totals for MALAMBO,,,,,,,118,1.48,"7,996","21,938",36.45
52 NYIMBA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"7,202",76.00,29.04,,,,,
"",,SATA MICHAEL C,PF,"1,590",17.00,6.41,,,,,
"",,HICHILEMA HAKAINDE,UPND,449,5.00,1.81,,,,,
"",,MIYANDA GODFREY K,HERITAGE,32,0.00,0.13,,,,,
Totals for NYIMBA,,,,,,,156,1.65,"9,429","24,799",38.02
53 KAPOCHE,,,,,,,,,,,
