candidate_region,Votes,pct_cast,pct_registered,rejected_ballotpapers,pct_rejected,total_votes,total_registered,pct_poll
"CHULU Andrew  ,UPND",704,4.71%,2.51%,,,,,
"ZIMBA Bridget  ,UNIP",185,1.24%,0.66%,,,,,
,"14,906",,,36,0.24%,"14,942","28,088",53.20%
00000052 NYIMBA,,,,,,,,
"TEMBO Forrie  ,MMD","8,101",54.89%,24.42%,,,,,
"MWANZA Mabvuto  ,PF","3,387",22.95%,10.21%,,,,,
"MWENDA Moses  ,UPND","1,710",11.59%,5.16%,,,,,
"CHAPONDA Benson  ,ADD",722,4.89%,2.18%,,,,,
"CHIKAVIZU Tyson  ,UNIP",400,2.71%,1.21%,,,,,
"MUMBA Maureen  ,ZED",99,0.67%,0.30%,,,,,
,"14,419",,,339,2.30%,"14,758","33,170",44.49%
00000053 KAPOCHE,,,,,,,,
"BANDA Nicholas  ,MMD","11,139",68.91%,27.55%,,,,,
"SAKALA Paradious  ,PF","3,034",18.77%,7.50%,,,,,
"BANDA Nephat A ,UPND","1,127",6.97%,2.79%,,,,,
"LUNGU Thenes  ,UNIP",314,1.94%,0.78%,,,,,
,"15,614",,,550,3.40%,"16,164","40,435",39.98%
00000054 MSANZALA,,,,,,,,
"LUNGU Joseph  ,IND","8,149",51.17%,27.69%,,,,,
"DAKA Peter  ,MMD","6,203",38.95%,21.08%,,,,,
"BANDA Godfrey  ,PF",722,4.53%,2.45%,,,,,
"MUMBA Levison  ,UPND",277,1.74%,0.94%,,,,,
"NYENDWA Betram  ,ADD",71,0.45%,0.24%,,,,,
,"15,422",,,503,3.16%,"15,925","29,428",54.12%
00000055 PETAUKE,,,,,,,,
"SILIYA Dora  ,MMD","14,561",63.63%,31.22%,,,,,
"BANDA Leonard  ,PF","5,759",25.16%,12.35%,,,,,
"PHIRI Ignasio AS ,UNIP",515,2.25%,1.10%,,,,,
"PHIRI Curthbert  ,UPND",515,2.25%,1.10%,,,,,
"MOOSA Osman A ,IND",470,2.05%,1.01%,,,,,
,"21,820",,,"1,065",4.65%,"22,885","46,635",49.07%
00000056 KAWAMBWA,,,,,,,,
"CHILANGWA Nickson  ,PF","7,293",63.46%,38.21%,,,,,
"CHITIKA Elizabeth  ,MMD","4,052",35.26%,21.23%,,,,,
"NKALAMO Albert  ,UNIP",85,0.74%,0.45%,,,,,
"KAUNDA Thresa  ,ZED",41,0.36%,0.21%,,,,,
,"11,471",,,21,0.18%,"11,492","19,086",60.21%
00000057 MWANSABOMBWE,,,,,,,,
"MWEWA Rodgers  ,PF","7,983",71.48%,38.91%,,,,,
"MWANSA Chriticles  ,MMD","2,796",25.04%,13.63%,,,,,
"CHUBA Kasangala  ,UPND",107,0.96%,0.52%,,,,,
,"10,886",,,282,2.53%,"11,168","20,515",54.44%
00000058 PAMBASHE,,,,,,,,
"CHITOTELA Ronald K ,PF","2,459",27.76%,16.42%,,,,,
"KALIFUNGWA John  ,IND","2,068",23.35%,13.81%,,,,,
"MANDA Boniface B ,IND","1,951",22.03%,13.03%,,,,,
"CHISHYA Bernard B ,MMD","1,273",14.37%,8.50%,,,,,
"KANUNSHYA Honorato  ,IND",898,10.14%,6.00%,,,,,
"MWELELA John  ,FDD",65,0.73%,0.43%,,,,,
"MULU Casimire C ,IND",62,0.70%,0.41%,,,,,
"CHANDA Lucy K ,ZED",52,0.59%,0.35%,,,,,
,"8,828",,,29,0.33%,"8,857","14,978",59.13%
00000059 BAHATI,,,,,,,,
"KALABA Harry  ,PF","14,630",73.41%,45.27%,,,,,
"CHIMBAKA Besa E ,MMD","2,824",14.17%,8.74%,,,,,
"CHABALA Kingstone  ,ADD","1,744",8.75%,5.40%,,,,,
"MWEWA Enorrine  ,UNIP",308,1.55%,0.95%,,,,,
"MUBANGA Peggy  ,FDD",87,0.44%,0.27%,,,,,
,"19,593",,,336,1.69%,"19,929","32,315",61.67%
00000060 CHEMBE,,,,,,,,
"MBULAKULIMA Mwansa  ,MMD","4,485",54.39%,28.81%,,,,,
"MIBENGE Benny  ,PF","3,290",39.90%,21.14%,,,,,
"MOFYA Arthur  ,UPND",258,3.13%,1.66%,,,,,
,"8,033",,,213,2.58%,"8,246","15,565",52.98%
00000061 MANSA CENTRAL,,,,,,,,
"SAKENI Kennedy  ,PF","17,495",59.70%,30.89%,,,,,
"CHILUFYA Chitalu  ,MMD","10,949",37.36%,19.33%,,,,,
"KAPULA Webby  ,UNIP",187,0.64%,0.33%,,,,,
"KOMBE Jecap  ,FDD",99,0.34%,0.17%,,,,,
,"28,730",,,574,1.96%,"29,304","56,628",51.75%
00000062 CHIPILI,,,,,,,,
"MWILA Davies  ,PF","6,623",70.22%,43.86%,,,,,
"KAPUNGWE Jonathan  ,MMD","2,440",25.87%,16.16%,,,,,
"BUNDA Alfred  ,NMP",125,1.33%,0.83%,,,,,
,"9,188",,,244,2.59%,"9,432","15,102",62.46%
00000063 MAMBILIMA,,,,,,,,
"MUMBA Mighty  ,PF","5,292",59.12%,33.84%,,,,,
"CHINYANTA John M ,MMD","3,432",38.34%,21.95%,,,,,
"KALUNGU Nicodemus CK ,UPND",76,0.85%,0.49%,,,,,
,"8,800",,,151,1.69%,"8,951","15,638",57.24%
00000064 MWENSE,,,,,,,,
"MABUMBA David  ,PF","6,909",49.21%,26.58%,,,,,
"CHONGO Jacob  ,MMD","3,235",23.04%,12.45%,,,,,
"CHANSA Kasalwe  ,IND","3,068",21.85%,11.80%,,,,,
"CHIBAMBA Norman  ,UPND",515,3.67%,1.98%,,,,,
,"13,727",,,314,2.24%,"14,041","25,990",54.02%
00000065 CHIENGE,,,,,,,,
"KAPAYA Benson M ,PF","8,732",60.61%,18.60%,,,,,
"MPAMPI Cosmas  ,MMD","4,434",30.78%,9.44%,,,,,
"CHANSA Allan  ,IND",852,5.91%,1.81%,,,,,
"MUSONDA Willie  ,UPND",383,2.66%,0.82%,,,,,
,"14,401",,,5,0.03%,"14,406","46,946",30.69%
00000066 NCHELENGE,,,,,,,,
"MPUNDU Raymond L ,PF","12,384",52.90%,21.28%,,,,,
"NSAKASHA Bwalya  ,IND","4,477",19.13%,7.69%,,,,,
"MWILA Benjamin Y ,MMD","3,336",14.25%,5.73%,,,,,
"MWELWA Honorine M ,IND","1,939",8.28%,3.33%,,,,,
"MUSONDA Christopher  ,NMP",665,2.84%,1.14%,,,,,
,"22,801",,,608,2.60%,"23,409","58,198",40.22%
00000067 BANGWEULU,,,,,,,,
"MATAFWALI Chifita  ,PF","16,807",76.42%,40.04%,,,,,
"CHIMFWEMBE Sylvester C ,MMD","3,241",14.74%,7.72%,,,,,
"MUMA Blanco  ,IND","1,428",6.49%,3.40%,,,,,
"KABASO Catherine  ,UPND",360,1.64%,0.86%,,,,,
"LUFUNGULO Rosemary  ,ZED",137,0.62%,0.33%,,,,,
,"21,973",,,19,0.09%,"21,992","41,979",52.39%
00000068 CHIFUNABULI,,,,,,,,
"MWALI Andrew  ,PF","12,878",66.95%,37.58%,,,,,
"CHILEYA Kapekele  ,MMD","5,228",27.18%,15.26%,,,,,
"MWEWA Theophano  ,ZED","1,074",5.58%,3.13%,,,,,
,"19,180",,,54,0.28%,"19,234","34,264",56.13%
00000069 LUAPULA,,,,,,,,
"KABANSHI Emerine  ,PF","2,834",43.60%,24.15%,,,,,
"CHISALA Daniel L ,MMD","2,488",38.28%,21.21%,,,,,
"CHAKOLWA Stephen  ,IND","1,122",17.26%,9.56%,,,,,
,"6,444",,,56,0.86%,"6,500","11,733",55.40%
00000070 KAFUE,,,,,,,,
"MWALITETA Obvious S ,PF","8,435",33.70%,18.06%,,,,,
"MACHILA Bradford  ,MMD","6,292",25.14%,13.47%,,,,,
"BEYANI Choolwe  ,UPND","4,194",16.76%,8.98%,,,,,
"MOONGA Beatrice K ,UNIP","2,318",9.26%,4.96%,,,,,
"CHITALU Mirriam N ,IND","2,295",9.17%,4.91%,,,,,
"NJASE Committee  ,IND",809,3.23%,1.73%,,,,,
"KAWANAMBULU Paul W ,ADD",153,0.61%,0.33%,,,,,
,"24,496",,,535,2.14%,"25,031","46,713",53.58%
00000071 FEIRA,,,,,,,,
"NGOMA Patrick A ,MMD","3,490",47.87%,30.98%,,,,,
"GUTINYU James P ,PF","2,382",32.67%,21.15%,,,,,
"NDHLOVU Francis  ,UPND","1,132",15.53%,10.05%,,,,,
"NYASENDA Wilfred M ,UNIP",79,1.08%,0.70%,,,,,
"TEMBO Jairos J ,FDD",36,0.49%,0.32%,,,,,
,"7,119",,,171,2.35%,"7,290","11,264",64.72%
00000072 CHILANGA,,,,,,,,
"MUKATA Keith  ,MMD","7,015",41.02%,20.71%,,,,,
"MOONO Cosmas  ,UPND","4,717",27.58%,13.93%,,,,,
"CHUMBWE Geoffrey  ,PF","4,235",24.77%,12.50%,,,,,
"KAMANGA Priscilla  ,IND",411,2.40%,1.21%,,,,,
"MUSHALIKA Joseph  ,NAREP",182,1.06%,0.54%,,,,,
"SIMWANZA Violet AN ,ADD",67,0.39%,0.20%,,,,,
"SHAMUSOKOLA Nkumbula  ,UNIP",61,0.36%,0.18%,,,,,
"MWANAMULANDO Mpasu  ,NMP",29,0.17%,0.09%,,,,,
,"16,717",,,383,2.24%,"17,100","33,870",50.49%
00000073 CHONGWE,,,,,,,,
"MWAKALOMBE Japhen  ,MMD","14,384",55.15%,27.57%,,,,,
"MASEBO Sylvia T ,PF","8,143",31.22%,15.61%,,,,,
"MAPULANGA Clement  ,UPND","2,309",8.85%,4.43%,,,,,
"CHULU David  ,FDD",542,2.08%,1.04%,,,,,
,"25,378",,,703,2.70%,"26,081","52,166",50.00%
00000074 RUFUNSA,,,,,,,,
"CHIPUNGU Kenneth  ,MMD","4,754",48.99%,22.94%,,,,,
"MULYATA Sheal S ,UPND","3,374",34.77%,16.28%,,,,,
"MUTANTIKA Phillip E ,PF","1,180",12.16%,5.69%,,,,,
"MUMBA Nelson W ,FDD",310,3.19%,1.50%,,,,,
,"9,618",,,86,0.89%,"9,704","20,720",46.83%
00000075 CHAWAMA,,,,,,,,
"LUNGU Edgar C ,PF","18,629",54.27%,26.91%,,,,,
"CHILUFYA Donald  ,MMD","9,219",26.86%,13.32%,,,,,
"MUUNDA Morgan  ,UPND","4,710",13.72%,6.80%,,,,,
"NKOMA Emily  ,IND",834,2.43%,1.20%,,,,,
"KALUBA Bywel M ,UNIP",415,1.21%,0.60%,,,,,
MUSONDAMWAUME Borniface K,301,0.88%,0.43%,,,,,
"SIMPEMBA Peter  ,ZCP",168,0.49%,0.24%,,,,,
,"34,276",,,51,0.15%,"34,327","69,228",49.59%
00000076 KABWATA,,,,,,,,
"LUBINDA Given  ,PF","29,977",74.46%,41.16%,,,,,
"MACHUNGWA Peter  ,MMD","5,869",14.58%,8.06%,,,,,
"IMBUWA Imbuwa  ,UPND","3,923",9.74%,5.39%,,,,,
"KABASO Mckelvin  ,NGP",190,0.47%,0.26%,,,,,
"MSONI Nasson  ,IND",132,0.33%,0.18%,,,,,
"SHIMUMBI Doreen  ,ZED",114,0.28%,0.16%,,,,,
,"40,205",,,53,0.13%,"40,258","72,831",55.28%
00000077 KANYAMA,,,,,,,,
"CHANDA Gerry  ,PF","20,474",53.36%,22.81%,,,,,
"MWANZA Yohane  ,MMD","9,244",24.09%,10.30%,,,,,
"PFUMA Claud  ,UPND","6,775",17.66%,7.55%,,,,,
"CHIPEPA Lloyd  ,UNIP",469,1.22%,0.52%,,,,,
"MANJATA Musenge  ,NMP",222,0.58%,0.25%,,,,,
"HAMACHILA Richard  ,FDD",182,0.47%,0.20%,,,,,
"SUMBWE Mbita  ,NAREP",181,0.47%,0.20%,,,,,
"PHIRI Nelson  ,ADD",136,0.35%,0.15%,,,,,
"ZULU Ireen  ,ZED",127,0.33%,0.14%,,,,,
"MUWOWO Japhet  ,NGP",127,0.33%,0.14%,,,,,
,"37,937",,,432,1.13%,"38,369","89,777",42.74%
00000078 LUSAKA CENTRAL,,,,,,,,
"SCOTT Guy  ,PF","19,974",61.97%,33.24%,,,,,
"LUNGU Muhabi  ,MMD","8,417",26.11%,14.01%,,,,,
"MSISKA Charles  ,UPND","3,208",9.95%,5.34%,,,,,
"CHANSA Cephas  ,NRP",253,0.78%,0.42%,,,,,
"SAKALA Edwin  ,ZDDM",177,0.55%,0.29%,,,,,
,"32,029",,,205,0.64%,"32,234","60,099",53.63%
00000079 MANDEVU,,,,,,,,
"KAPATA Jean  ,PF","34,578",62.50%,31.73%,,,,,
"BANDA Canisius  ,MMD","16,466",29.76%,15.11%,,,,,
"MUSHIPE Martha  ,UPND","3,191",5.77%,2.93%,,,,,
"BOTHA Joseph  ,UNIP",512,0.93%,0.47%,,,,,
"NAKAZWE Susan M ,ADD",360,0.65%,0.33%,,,,,
"MUSHOTA Nason M ,FDD",220,0.40%,0.20%,,,,,
,"55,327",,,0,0.00%,"55,327","108,978",50.77%
00000080 MATERO,,,,,,,,
"SAMPA Miles BE ,PF","36,295",66.40%,37.11%,,,,,
"BWALYA Faustina S ,MMD","9,900",18.11%,10.12%,,,,,
"RANCHHOD Kiran V ,UPND","3,323",6.08%,3.40%,,,,,
"DODIA Nazir M ,IND","2,423",4.43%,2.48%,,,,,
"SANDERSON Constance N ,NAREP","1,630",2.98%,1.67%,,,,,
"MTONGA Mathew  ,UNIP",382,0.70%,0.39%,,,,,
"NYIRENDA Philemon P ,IND",313,0.57%,0.32%,,,,,
"MUDAI Collins  ,IND",260,0.48%,0.27%,,,,,
,"54,526",,,133,0.24%,"54,659","97,817",55.88%
00000081 MUNALI,,,,,,,,
"LUO Nkandu P ,PF","34,367",60.05%,31.53%,,,,,
"MWAPE Marjory M ,MMD","14,628",25.56%,13.42%,,,,,
"NAWA Stephen L ,UPND","5,805",10.14%,5.33%,,,,,
"PHIRI John  ,NAREP",732,1.28%,0.67%,,,,,
"KALUBA Lewis R ,UNIP",524,0.92%,0.48%,,,,,
"LIFWEKELO Edmond  ,FDD",265,0.46%,0.24%,,,,,
"MASIYE Andrew M ,NMP",263,0.46%,0.24%,,,,,
"SIWALE Fresher  ,IND",194,0.34%,0.18%,,,,,
"PHIRI Benson  ,ADD",159,0.28%,0.15%,,,,,
"LUNGU Cassius M ,IND",157,0.27%,0.14%,,,,,
"MWANZA Robert W ,CDP",137,0.24%,0.13%,,,,,
,"57,231",,,0,0.00%,"57,231","108,995",52.51%
00000082 CHILUBI,,,,,,,,
"CHISALA Obius  ,PF","14,339",67.96%,37.78%,,,,,
"CHAILUNGA Rosario  ,MMD","5,887",27.90%,15.51%,,,,,
"CHIKONDE Rosemary  ,UPND",461,2.18%,1.21%,,,,,
,"20,687",,,412,1.95%,"21,099","37,957",55.59%
00000083 CHINSALI,,,,,,,,
"MULENGA Christopher  ,PF","11,676",67.52%,37.44%,,,,,
"KAPWEPWE Chileshe  ,MMD","4,181",24.18%,13.41%,,,,,
"SABI Freedom  ,NAREP",619,3.58%,1.98%,,,,,
"KAPANGALWENDO David  ,NRP",252,1.46%,0.81%,,,,,
"MULENGA Isaac  ,ADD",192,1.11%,0.62%,,,,,
,"16,920",,,373,2.16%,"17,293","31,188",55.45%
00000084 SHIWANG'ANDU,,,,,,,,
"KAMPYONGO Stephen  ,PF","9,923",76.04%,42.86%,,,,,
"CHIBAMBA Celestine  ,MMD","1,831",14.03%,7.91%,,,,,
"MUKUKA Isaac  ,IND",518,3.97%,2.24%,,,,,
"YASA Vera  ,ZED",205,1.57%,0.89%,,,,,
"MUTALE Samuel  ,APC",139,1.07%,0.60%,,,,,
"LWANDA Isaac  ,IND",105,0.80%,0.45%,,,,,
"NGOSA Robert  ,UPND",76,0.58%,0.33%,,,,,
,"12,797",,,253,1.94%,"13,050","23,154",56.36%
00000085 MAFINGA,,,,,,,,
"NAMUGALA Catherine  ,MMD","15,344",78.66%,50.43%,,,,,
"GONDWE Brelsford  ,PF","3,719",19.06%,12.22%,,,,,
"PHIRI Maxwell M ,UPND",215,1.10%,0.71%,,,,,
"KAFUNDA Rodwell  ,FDD",164,0.84%,0.54%,,,,,
,"19,442",,,65,0.33%,"19,507","30,427",64.11%
00000086 ISOKA,,,,,,,,
"SICHONE Malozo  ,PF","7,157",49.88%,27.29%,,,,,
"SICHAMBA Paul  ,MMD","3,885",27.08%,14.81%,,,,,
"KAPILA Gift  ,FDD","2,574",17.94%,9.82%,,,,,
"MUKWASA Daudi M ,UNIP",234,1.63%,0.89%,,,,,
"MWANDIA Lumalizia  ,UPND",124,0.86%,0.47%,,,,,
,"13,974",,,374,2.61%,"14,348","26,225",54.71%
00000088 CHIMBAMILONGA,,,,,,,,
"CHANSA Hastings S ,PF","6,022",54.11%,29.95%,,,,,
"SIKAZWE Brian  ,MMD","3,639",32.70%,18.10%,,,,,
"KABUTA Gilbert  ,UPND","1,296",11.64%,6.44%,,,,,
,"10,957",,,173,1.55%,"11,130","20,110",55.35%
00000089 KAPUTA,,,,,,,,
"NGONGA Maxas BJ ,PF","8,340",58.96%,34.13%,,,,,
"NALUMANGO Mutale WK ,MMD","5,637",39.85%,23.07%,,,,,
,"13,977",,,168,1.19%,"14,145","24,439",57.88%
00000090 KASAMA CENTRAL,,,,,,,,
"MWAMBA Geoffrey B ,PF","25,210",83.24%,50.38%,,,,,
"MUNKONGE Chilekwa  ,MMD","4,357",14.39%,8.71%,,,,,
"MWILA Patrick T ,UPND",368,1.22%,0.74%,,,,,
"BWALYA Maggie  ,IND",217,0.72%,0.43%,,,,,
"LISUBA Olive  ,ZED",65,0.21%,0.13%,,,,,
,"30,217",,,68,0.22%,"30,285","50,035",60.53%
00000091 LUKASHYA,,,,,,,,
"KANSEMBE Alfreda C ,PF","10,793",48.00%,24.72%,,,,,
"MUNKONGE Lupando  ,IND","4,627",20.58%,10.60%,,,,,
"MPUNDU Bernard  ,MMD","3,436",15.28%,7.87%,,,,,
"MWAPE Lupando AF ,IND","3,096",13.77%,7.09%,,,,,
"MULENGA Joseph M ,HERITAGE",258,1.15%,0.59%,,,,,
"MWANSA Dancewell K ,UPND",159,0.71%,0.36%,,,,,
"MWAMBA Alfred C ,ZED",80,0.36%,0.18%,,,,,
,"22,449",,,35,0.16%,"22,484","43,664",51.49%
00000092 MALOLE,,,,,,,,
"YALUMA Christopher  ,PF","23,564",69.53%,40.15%,,,,,
"MUNAILE Emmanuel  ,IND","4,800",14.16%,8.18%,,,,,
"MUSONDA Mofu  ,MMD","4,081",12.04%,6.95%,,,,,
"KANGWA Godfrey  ,UPND","1,164",3.43%,1.98%,,,,,
"MWELA Mulenga  ,NAREP",215,0.63%,0.37%,,,,,
,"33,824",,,67,0.20%,"33,891","58,692",57.74%
00000093 LUBANSENSHI,,,,,,,,
"MUCHELEKA Patrick M ,IND","5,288",44.33%,26.18%,,,,,
"MWAMBA George K ,MMD","4,458",37.37%,22.07%,,,,,
"CHOTA Lazarous H ,PF","1,929",16.17%,9.55%,,,,,
"MUBANGA Daniel S ,UPND",158,1.32%,0.78%,,,,,
"SHIMUMBI Mary B ,ZED",72,0.60%,0.36%,,,,,
,"11,905",,,25,0.21%,"11,930","20,198",59.07%
00000094 LUPOSOSHI,,,,,,,,
"BWALYA Chungu L ,PF","6,513",41.74%,25.03%,,,,,
"MULONGA Albert  ,IND","3,184",20.41%,12.23%,,,,,
"MWANSA Kelvin  ,MMD","2,959",18.96%,11.37%,,,,,
"MWANSA Vincent P ,IND","2,823",18.09%,10.85%,,,,,
"CHUNGU Innocent N ,UPND",86,0.55%,0.33%,,,,,
,"15,565",,,39,0.25%,"15,604","26,024",59.96%
00000095 MBALA,,,,,,,,
"SIMFUKWE Mwalimu  ,MMD","14,185",65.45%,37.30%,,,,,
"KASUNGA Evaristo  ,PF","6,583",30.37%,17.31%,,,,,
"BANDA Wiza  ,ADD",603,2.78%,1.59%,,,,,
"SIYANDA Edwin  ,ZED",150,0.69%,0.39%,,,,,
,"21,521",,,153,0.71%,"21,674","38,027",57.00%
00000096 MPULUNGU,,,,,,,,
"SIKAZWE Freedom  ,PF","12,708",53.21%,30.32%,,,,,
"MUNG'OMBA Given  ,MMD","10,351",43.34%,24.70%,,,,,
"SYABEENE Kelly KU ,UPND",580,2.43%,1.38%,,,,,
"SINYANGWE Chilowela  ,ADD",206,0.86%,0.49%,,,,,
,"23,845",,,37,0.15%,"23,882","41,911",56.98%
00000097 SENGA HILL,,,,,,,,
"SIMBAO Kapembwa  ,MMD","12,037",67.14%,37.10%,,,,,
"YAMBAYAMBA Giles  ,PF","5,575",31.10%,17.18%,,,,,
"SIMUTOWE Green  ,UPND",238,1.33%,0.73%,,,,,
,"17,850",,,77,0.43%,"17,927","32,446",55.25%
00000098 KANCHIBIYA,,,,,,,,
"MWANGO Davies  ,PF","7,289",47.95%,25.91%,,,,,
"NG'UNI Newton  ,IND","3,751",24.67%,13.33%,,,,,
"CHANDA Sunday  ,MMD","1,704",11.21%,6.06%,,,,,
"CHILEKWA Josphat  ,IND","1,467",9.65%,5.21%,,,,,
"NSOFWA Stanley  ,ADD",757,4.98%,2.69%,,,,,
"BOBO Clement  ,UNIP",148,0.97%,0.53%,,,,,
"MULENGA Emmanuel  ,UPND",59,0.39%,0.21%,,,,,
,"15,175",,,27,0.18%,"15,202","28,134",54.03%
00000099 MFUWE,,,,,,,,
"MALAMA Mwimba H ,PF","5,766",72.57%,35.09%,,,,,
"CHANDA Maybin  ,IND","1,130",14.22%,6.88%,,,,,
"SONGOLO Manda  ,MMD","1,044",13.14%,6.35%,,,,,
,"7,940",,,5,0.06%,"7,945","16,433",48.35%
00000100 MPIKA,,,,,,,,
"KAPEYA Mwansa  ,PF","7,962",50.66%,27.49%,,,,,
"MUSWEMA Sampa  ,IND","3,634",23.12%,12.55%,,,,,
"CHISANGA Danny M ,MMD","2,698",17.17%,9.31%,,,,,
"SICHALWE Mordecai M ,IND","1,002",6.38%,3.46%,,,,,
"LUPIYA Evans M ,UPND",212,1.35%,0.73%,,,,,
"MWABA Blackson  ,IND",136,0.87%,0.47%,,,,,
,"15,644",,,72,0.46%,"15,716","28,966",54.26%
00000101 LUNTE,,,,,,,,
"MUTATI Felix  ,MMD","7,713",54.41%,32.77%,,,,,
"CHILUBANAMA Emmanuel  ,PF","6,256",44.13%,26.58%,,,,,
,"13,969",,,208,1.47%,"14,177","23,539",60.23%
00000102 MPOROKOSO,,,,,,,,
"WILLOMBE Nevelyn  ,PF","4,487",40.41%,25.55%,,,,,
"MUNDUBILE Brian  ,MMD","3,789",34.13%,21.58%,,,,,
"MWENYA Stephen  ,IND","2,358",21.24%,13.43%,,,,,
"MAKUMBA Abraham  ,UPND",304,2.74%,1.73%,,,,,
,"10,938",,,165,1.49%,"11,103","17,561",63.23%
00000103 CHAVUMA,,,,,,,,
"KONGA Kenneth  ,MMD","6,028",62.02%,35.70%,,,,,
"CHILILA Joan  ,IND","2,695",27.73%,15.96%,,,,,
"MAKONDO Webster N ,UPND",452,4.65%,2.68%,,,,,
